MAG	body_region	Microenvironments	taxonomy_status
1111525849479998_bin.16_new	Facial skin	sebaceous	not_annotated
1111525849854152_bin.13	Facial skin	sebaceous	not_annotated
1111525849858814_bin.16	Facial skin	sebaceous	final_reannotation
DSKIN0041-1_bin.21	Facial skin	sebaceous	not_annotated
1111525849852267_bin.54	Facial skin	sebaceous	not_annotated
MET0251_bin.68	Lower limb & foot skin	moist	not_annotated
1111525849755644_bin.75	Facial skin	sebaceous	final_reannotation
MET0251_bin.6	Lower limb & foot skin	moist	final_reannotation
MET0251_bin.29	Lower limb & foot skin	moist	not_annotated
MET0341_bin.8	Unknown	unknown	not_annotated
MET0736_bin.11	Lower limb & foot skin	moist	not_annotated
MET0210_bin.7	Lower limb & foot skin	moist	final_reannotation
MET0737_bin.8	Lower limb & foot skin	toenail	final_reannotation
SRR2005678_bin.2	Upper limb & hand skin	moist	not_annotated
MET0182_bin.6	Lower limb & foot skin	moist	final_reannotation
1111525849752591_bin.31	Facial skin	sebaceous	not_annotated
SRR1950779_bin.1	Upper limb & hand skin	moist	final_reannotation
1111525849771950_bin.29	Facial skin	sebaceous	final_reannotation
1111525849743403_bin.21	Facial skin	sebaceous	not_annotated
1111525849486576_bin.65	Facial skin	sebaceous	final_reannotation
1111525849853977_bin.6	Facial skin	sebaceous	final_reannotation
1111525849854152_bin.37	Facial skin	sebaceous	not_annotated
1111525849663802_bin.11	Facial skin	sebaceous	not_annotated
1111525849767143_bin.6	Facial skin	sebaceous	not_annotated
1111525849478545_bin.26	Facial skin	sebaceous	final_reannotation
1111525849480093_bin.44	Facial skin	sebaceous	final_reannotation
1111525849483071_bin.25	Facial skin	sebaceous	final_reannotation
1111525849736752_bin.52	Facial skin	sebaceous	not_annotated
MET0251_bin.25	Lower limb & foot skin	moist	not_annotated
1111525849481954_bin.32	Facial skin	sebaceous	not_annotated
1111525849484910_bin.16	Facial skin	sebaceous	not_annotated
1111525849649875_bin.11	Facial skin	sebaceous	not_annotated
1111525849663802_bin.1	Facial skin	sebaceous	not_annotated
1111525849853811_bin.29	Facial skin	sebaceous	not_annotated
1111525849862568_bin.18	Facial skin	sebaceous	not_annotated
MET0772_bin.26	Upper limb & hand skin	dry	not_annotated
1111525849480988_bin.6	Facial skin	sebaceous	not_annotated
1111525849638540_bin.4	Facial skin	sebaceous	final_reannotation
1111525849771545_bin.50	Facial skin	sebaceous	final_reannotation
MET0658_bin.28	Upper limb & hand skin	dry	final_reannotation
MET0662_bin.11	Lower limb & foot skin	moist	not_annotated
1111525849748616_bin.32	Facial skin	sebaceous	final_reannotation
1111525849644360_bin.23	Facial skin	sebaceous	not_annotated
1111525849640249_bin.115	Facial skin	sebaceous	final_reannotation
1111525849640249_bin.9	Facial skin	sebaceous	final_reannotation
MET0044_bin.5	Lower limb & foot skin	moist	not_annotated
MET0179_bin.13	Lower limb & foot skin	moist	not_annotated
MET0192_bin.9	Lower limb & foot skin	moist	not_annotated
1111525849480910_bin.38	Facial skin	sebaceous	final_reannotation
1111525849663614_bin.44	Facial skin	sebaceous	final_reannotation
DP1806001386_bin.2	Facial skin	sebaceous	not_annotated
DP1807004299_bin.6	Facial skin	sebaceous	not_annotated
DP1807004301_bin.5	Facial skin	sebaceous	not_annotated
DP1807004430_bin.13	Facial skin	sebaceous	not_annotated
DP1807004435_bin.14	Facial skin	sebaceous	not_annotated
DP1808006710_bin.22	Facial skin	sebaceous	not_annotated
DP1808006753_bin.22	Facial skin	sebaceous	not_annotated
DP1808006754_bin.9	Facial skin	sebaceous	not_annotated
DP1808006764_bin.15	Facial skin	sebaceous	not_annotated
DP1808006765_bin.8	Facial skin	sebaceous	not_annotated
