taxon_oid	ecosystem	MAG	classification	Phylum	Class	Order	Family	Genus	Species	source	from	Habitat
gem0	gem	2199034002_2	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Rectinemataceae;g__Rectinema;s__Rectinema subterraneum	Spirochaetota	Spirochaetia	Treponematales	Rectinemataceae	Rectinema	Rectinema subterraneum	other	gem	Environmental
gem1	gem	2199034002_5	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__Dehalococcoidales;f__Dehalococcoidaceae;g__Dehalococcoides;s__Dehalococcoides mccartyi	Chloroflexota	Dehalococcoidia	Dehalococcoidales	Dehalococcoidaceae	Dehalococcoides	Dehalococcoides mccartyi	other	gem	Environmental
gem2	gem	3300000030_4	d__Bacteria;p__Fermentibacterota;c__Fermentibacteria;o__Fermentibacterales;f__Fermentibacteraceae;g__UBA5938;s__UBA5938 sp002414865	Fermentibacterota	Fermentibacteria	Fermentibacterales	Fermentibacteraceae	UBA5938	UBA5938 sp002414865	Aquatic	gem	Environmental
gem3	gem	3300000145_1	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiia;o__Limisphaerales;f__Limisphaeraceae;g__Limisphaera;s__	Verrucomicrobiota	Verrucomicrobiia	Limisphaerales	Limisphaeraceae	Limisphaera		other	gem	Environmental
gem4	gem	3300000169_7	d__Bacteria;p__Myxococcota;c__Myxococcia;o__Myxococcales;f__Vulgatibacteraceae;g__ZC4RG40;s__	Myxococcota	Myxococcia	Myxococcales	Vulgatibacteraceae	ZC4RG40		other	gem	Environmental
gem5	gem	3300000205_7	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae;g__ZC4RG25;s__ZC4RG25 sp002919265	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	ZC4RG25	ZC4RG25 sp002919265	other	gem	Environmental
gem6	gem	3300000208_16	d__Bacteria;p__Myxococcota;c__Myxococcia;o__Myxococcales;f__Vulgatibacteraceae;g__ZC4RG40;s__ZC4RG40 sp003242475	Myxococcota	Myxococcia	Myxococcales	Vulgatibacteraceae	ZC4RG40	ZC4RG40 sp003242475	other	gem	Environmental
gem7	gem	3300000227_3	d__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Pirellulales;f__Thermoguttaceae;g__Thermogutta;s__Thermogutta sp020721965	Planctomycetota	Planctomycetia	Pirellulales	Thermoguttaceae	Thermogutta	Thermogutta sp020721965	Aquatic	gem	Environmental
gem8	gem	3300000227_41	d__Bacteria;p__Caldisericota;c__Caldisericia;o__Caldisericales;f__Caldisericaceae;g__Caldisericum;s__Caldisericum exile_C	Caldisericota	Caldisericia	Caldisericales	Caldisericaceae	Caldisericum	Caldisericum exile_C	Aquatic	gem	Environmental
gem9	gem	3300000227_53	d__Bacteria;p__Patescibacteriota;c__DYJS01;o__DYJS01;f__DYJS01;g__DYJS01;s__DYJS01 sp020723005	Patescibacteriota	DYJS01	DYJS01	DYJS01	DYJS01	DYJS01 sp020723005	Aquatic	gem	Environmental
gem10	gem	3300000227_57	d__Bacteria;p__Patescibacteriota;c__Minisyncoccia;o__Moranbacterales;f__UBA9337;g__DYKS01;s__DYKS01 sp020722485	Patescibacteriota	Minisyncoccia	Moranbacterales	UBA9337	DYKS01	DYKS01 sp020722485	Aquatic	gem	Environmental
gem11	gem	3300000230_29	d__Bacteria;p__Margulisbacteria;c__Riflemargulisbacteria;o__GWF2-35-9;f__DYQY01;g__DYQY01;s__DYQY01 sp020719045	Margulisbacteria	Riflemargulisbacteria	GWF2-35-9	DYQY01	DYQY01	DYQY01 sp020719045	Aquatic	gem	Environmental
