POG,gem_count,human_count,total_count,gem_freq,human_freq,freq_diff,count_diff,ecological_preference
POG_0,3114,3798,6912,0.9060226942100669,0.9965888218315403,-0.09056612762147342,-684,Ubiquitous
POG_1,3389,3803,7192,0.9860343322665115,0.997900813434794,-0.011866481168282483,-414,Ubiquitous
POG_2,2317,3020,5337,0.6741344195519349,0.7924429283652584,-0.11830850881332355,-703,Neutral
POG_3,2051,2753,4804,0.5967413441955194,0.7223825767515087,-0.12564123255598936,-702,Neutral
POG_4,3174,3662,6836,0.9234797788769276,0.9609026502230386,-0.037422871346111,-488,Ubiquitous
POG_5,2337,2125,4462,0.6799534477742217,0.5575964313828391,0.12235701639138263,212,Neutral
POG_6,3111,3765,6876,0.9051498399767239,0.9879296772500656,-0.0827798372733417,-654,Ubiquitous
POG_7,2495,2500,4995,0.725923770730288,0.6559958016268695,0.06992796910341847,-5,Neutral
POG_8,2175,3039,5214,0.632819319173698,0.7974284964576227,-0.16460917728392466,-864,Neutral
POG_9,2725,3015,5740,0.7928425952865872,0.7911309367620047,0.0017116585245824378,-290,Ubiquitous
POG_10,1630,2617,4247,0.47425080011638054,0.6866964051430071,-0.21244560502662657,-987,Human-biased
POG_11,2732,2878,5610,0.7948792551643875,0.7551823668328522,0.039696888331535285,-146,Ubiquitous
POG_12,2086,2902,4988,0.6069246435845214,0.7614799265284702,-0.15455528294394882,-816,Neutral
POG_13,3433,3802,7235,0.9988361943555426,0.9976384151141433,0.0011977792413992994,-369,Ubiquitous
POG_14,2140,2093,4233,0.622636019784696,0.5491996851220152,0.07343633466268074,47,Neutral
POG_15,2589,3712,6301,0.7532732033750363,0.9740225662555759,-0.2207493628805396,-1123,Ubiquitous
POG_16,2369,3060,5429,0.6892638929298807,0.8029388611912883,-0.11367496826140766,-691,Neutral
POG_17,1657,2052,3709,0.48210648821646784,0.5384413539753345,-0.0563348657588667,-395,Neutral
POG_18,2907,3326,6233,0.8457957521093977,0.8727368144843873,-0.02694106237498961,-419,Ubiquitous
POG_19,3332,3755,7087,0.9694501018329938,0.9853056940435582,-0.015855592210564318,-423,Ubiquitous
POG_20,1034,2567,3601,0.3008437590922316,0.6735764891104697,-0.37273273001823815,-1533,Human-biased
POG_21,1312,2417,3729,0.3817282513820192,0.6342167410128575,-0.2524884896308383,-1105,Human-biased
POG_22,333,356,689,0.09688681990107652,0.09341380215166623,0.0034730177494102926,-23,Rare
POG_23,2257,2817,5074,0.6566773348850742,0.7391760692731566,-0.08249873438808242,-560,Neutral
POG_24,3300,3715,7015,0.9601396566773349,0.9748097612175282,-0.01467010454019324,-415,Ubiquitous
POG_25,1610,2717,4327,0.4684317718940937,0.7129362372080819,-0.24450446531398817,-1107,Human-biased
POG_26,1742,2136,3878,0.5068373581611871,0.5604828129099974,-0.05364545474881022,-394,Neutral
POG_27,2845,3527,6372,0.8277567646203084,0.9254788769351876,-0.09772211231487915,-682,Ubiquitous
POG_28,2812,3508,6320,0.8181553680535351,0.9204933088428234,-0.10233794078928837,-696,Ubiquitous
POG_29,1896,2250,4146,0.551643875472796,0.5903962214641826,-0.03875234599138655,-354,Neutral
POG_30,3384,3752,7136,0.9845795752109398,0.9845184990816058,6.10761293339257e-05,-368,Ubiquitous
POG_31,428,462,890,0.1245272039569392,0.1212280241406455,0.0032991798162936986,-34,Rare
POG_32,3119,2997,6116,0.9074774512656386,0.7864077669902912,0.12106968427534737,122,Ubiquitous
POG_33,2880,3539,6419,0.8379400640093104,0.9286276567829966,-0.09068759277368621,-659,Ubiquitous
POG_34,2754,3595,6349,0.8012801862089031,0.9433219627394385,-0.1420417765305354,-841,Ubiquitous
POG_35,3338,3725,7063,0.9711958102996799,0.9774337444240356,-0.006237934124355693,-387,Ubiquitous
POG_36,464,1811,2275,0.13500145475705558,0.47520335869850433,-0.3402019039414488,-1347,Human-biased
POG_37,2639,3553,6192,0.7678207739307535,0.932301233272107,-0.16448045934135347,-914,Ubiquitous
POG_38,3354,3733,7087,0.9758510328775094,0.9795329309892417,-0.0036818981117322513,-379,Ubiquitous
POG_39,2636,3545,6181,0.7669479196974105,0.9302020467069011,-0.1632541270094906,-909,Ubiquitous
POG_40,3314,3559,6873,0.9642129764329357,0.9338756231960116,0.030337353236924103,-245,Ubiquitous
POG_41,3140,3740,6880,0.9135874308990398,0.9813697192337969,-0.06778228833475708,-600,Ubiquitous
POG_42,3228,3529,6757,0.9391911550771022,0.9260036735764892,0.013187481500612996,-301,Ubiquitous
POG_43,3357,3762,7119,0.9767238871108525,0.9871424822881134,-0.010418595177260959,-405,Ubiquitous
POG_44,2250,2734,4984,0.6546406750072737,0.7173970086591446,-0.06275633365187083,-484,Neutral
POG_45,3066,3685,6751,0.8920570264765784,0.9669378115980057,-0.07488078512142737,-619,Ubiquitous
POG_46,870,1395,2265,0.2531277276694792,0.3660456573077932,-0.11291792963831399,-525,Neutral
POG_47,2249,2826,5075,0.6543497235961594,0.7415376541590134,-0.08718793056285401,-577,Neutral
POG_48,3239,3559,6798,0.9423916205993599,0.9338756231960116,0.008515997403348297,-320,Ubiquitous
POG_49,3353,3750,7103,0.9755600814663951,0.9839937024403044,-0.008433620973909317,-397,Ubiquitous
POG_50,2827,3663,6490,0.8225196392202502,0.9611650485436893,-0.13864540932343916,-836,Ubiquitous
POG_51,1794,2681,4475,0.5219668315391329,0.703489897664655,-0.18152306612552205,-887,Neutral
POG_52,3328,3291,6619,0.9682862961885366,0.8635528732616111,0.10473342292692545,37,Ubiquitous
POG_53,2792,3315,6107,0.8123363398312482,0.8698504329572291,-0.05751409312598088,-523,Ubiquitous
POG_54,2597,2073,4670,0.7556008146639511,0.5439517187090003,0.21164909595495085,524,Gem-biased
POG_55,809,2207,3016,0.2353796915915042,0.5791130936762005,-0.34373340208469627,-1398,Human-biased
POG_56,1106,1906,3012,0.32179226069246436,0.5001311991603253,-0.17833893846786097,-800,Neutral
POG_57,1867,2343,4210,0.54320628455048,0.6147992652847022,-0.07159298073422216,-476,Neutral
POG_58,3319,3471,6790,0.9656677334885074,0.9107845709787458,0.05488316250976166,-152,Ubiquitous
POG_59,3364,3755,7119,0.9787605469886529,0.9853056940435582,-0.006545147054905276,-391,Ubiquitous
POG_60,3354,3686,7040,0.9758510328775094,0.9672002099186565,0.008650822958852888,-332,Ubiquitous
POG_61,3317,3437,6754,0.9650858306662787,0.9018630280766203,0.0632228025896584,-120,Ubiquitous
POG_62,3330,3683,7013,0.9688681990107652,0.9664130149567043,0.002455184054060866,-353,Ubiquitous
POG_63,2527,3243,5770,0.7352342158859471,0.8509577538703752,-0.11572353798442814,-716,Ubiquitous
POG_64,3271,3667,6938,0.9517020657550189,0.9622146418262923,-0.010512576071273427,-396,Ubiquitous
POG_65,2967,3698,6665,0.8632528367762584,0.9703489897664654,-0.10709615299020703,-731,Ubiquitous
POG_66,2608,3475,6083,0.7588012801862088,0.9118341642613488,-0.15303288407513993,-867,Ubiquitous
POG_67,3238,3720,6958,0.9421006691882455,0.976121752820782,-0.03402108363253642,-482,Ubiquitous
POG_68,2211,2986,5197,0.6432935699738144,0.783521385463133,-0.14022781548931862,-775,Neutral
POG_69,3351,3679,7030,0.9749781786441665,0.9653634216741013,0.009614756970065197,-328,Ubiquitous
POG_70,2496,2069,4565,0.7262147221414024,0.5429021254263973,0.1833125967150051,427,Neutral
POG_71,3339,3523,6862,0.9714867617107943,0.9244292836525846,0.0470574780582097,-184,Ubiquitous
POG_72,1351,1379,2730,0.39307535641547864,0.36184728417738127,0.03122807223809737,-28,Neutral
POG_73,3361,3743,7104,0.9778876927553098,0.9821569141957491,-0.004269221440439286,-382,Ubiquitous
POG_74,3374,3684,7058,0.9816700610997964,0.9666754132773551,0.01499464782244131,-310,Ubiquitous
POG_75,3366,3676,7042,0.9793424498108816,0.964576226712149,0.014766223098732545,-310,Ubiquitous
POG_76,841,2488,3329,0.24469013674716322,0.6528470217790606,-0.4081568850318974,-1647,Human-biased
POG_77,2186,3033,5219,0.6360197846959558,0.7958541065337181,-0.15983432183776236,-847,Neutral
POG_78,3063,3706,6769,0.8911841722432354,0.9724481763316715,-0.08126400408843604,-643,Ubiquitous
POG_79,3281,3654,6935,0.9546115798661623,0.9588034636578326,-0.004191883791670348,-373,Ubiquitous
POG_80,1840,2577,4417,0.5353505964503927,0.6762004723169772,-0.14084987586658448,-737,Neutral
POG_81,2271,2972,5243,0.6607506546406751,0.7798478089740226,-0.11909715433334755,-701,Neutral
POG_82,1345,1328,2673,0.39132964794879255,0.3484649698241931,0.04286467812459943,17,Neutral
POG_83,2826,3672,6498,0.8222286878091358,0.963526633429546,-0.1412979456204102,-846,Ubiquitous
POG_84,3204,3721,6925,0.9322083212103579,0.9763841511414327,-0.04417582993107483,-517,Ubiquitous
POG_85,2741,3526,6267,0.7974978178644166,0.9252164786145368,-0.12771866075012017,-785,Ubiquitous
POG_86,3230,3626,6856,0.9397730578993309,0.9514563106796117,-0.011683252780280817,-396,Ubiquitous
POG_87,2982,3627,6609,0.8676171079429735,0.9517187090002625,-0.08410160105728892,-645,Ubiquitous
POG_88,2764,3570,6334,0.8041897003200466,0.9367620047231697,-0.13257230440312318,-806,Ubiquitous
POG_89,2145,1403,3548,0.6240907768402677,0.36814484387299923,0.2559459329672685,742,Gem-biased
POG_90,1260,2825,4085,0.3665987780040733,0.7412752558383626,-0.3746764778342893,-1565,Human-biased
POG_91,1891,1730,3621,0.5501891184172243,0.45394909472579376,0.09624002369143053,161,Neutral
POG_92,902,2337,3239,0.2624381728251382,0.6132248753607977,-0.3507867025356595,-1435,Human-biased
POG_93,3175,3713,6888,0.9237707302880419,0.9742849645762267,-0.0505142342881848,-538,Ubiquitous
POG_94,1090,1405,2495,0.31713703811463484,0.36866964051430073,-0.051532602399665894,-315,Neutral
POG_95,3174,3752,6926,0.9234797788769276,0.9845184990816058,-0.061038720204678265,-578,Ubiquitous
POG_96,1523,1336,2859,0.44311899912714575,0.3505641563893991,0.09255484273774667,187,Neutral
POG_97,2598,1857,4455,0.7558917660750655,0.48727368144843874,0.26861808462662673,741,Gem-biased
POG_98,2308,3111,5419,0.6715158568519057,0.8163211755444765,-0.14480531869257074,-803,Neutral
POG_99,1498,1523,3021,0.43584521384928715,0.399632642351089,0.036212571498198176,-25,Neutral
