Genus	CF	n_genomes_cf	positive_genomes	prevalence	mean_copy_all	mean_copy_pos	n_skin	n_nasal	n_genomes	n_species	HabitatGroup	rank_skin	in_skin_top	rank_nasal	in_nasal_top	in_ranked_union	in_manual_keep	include_rebuild_main	selection_reason	mean_total_CF_copy_per_genome	module	functional_theme	functional_theme_short	CF_richness	main_selection_reason
Acinetobacter	CF0	87	85	0.977011494252874	1.86206896551724	1.90588235294118	87	0	87	16	Skin-associated	3	TRUE	NA	FALSE	TRUE	FALSE	TRUE	skin_top15	40.7011494252874	module1	Nutrient acquisition and substrate utilization	Nutrient/substrate use	24	skin_top15
Acinetobacter	CF12	87	87	1	5.01149425287356	5.01149425287356	87	0	87	16	Skin-associated	3	TRUE	NA	FALSE	TRUE	FALSE	TRUE	skin_top15	40.7011494252874	module1	Nutrient acquisition and substrate utilization	Nutrient/substrate use	24	skin_top15
Acinetobacter	CF8	87	85	0.977011494252874	2.51724137931034	2.57647058823529	87	0	87	16	Skin-associated	3	TRUE	NA	FALSE	TRUE	FALSE	TRUE	skin_top15	40.7011494252874	module1	Nutrient acquisition and substrate utilization	Nutrient/substrate use	24	skin_top15
Acinetobacter	CF1	87	86	0.988505747126437	0.988505747126437	1	87	0	87	16	Skin-associated	3	TRUE	NA	FALSE	TRUE	FALSE	TRUE	skin_top15	40.7011494252874	module2	Nucleotide metabolism and genome maintenance	Nucleotide/genome maintenance	24	skin_top15
Acinetobacter	CF3	87	83	0.954022988505747	0.977011494252874	1.02409638554217	87	0	87	16	Skin-associated	3	TRUE	NA	FALSE	TRUE	FALSE	TRUE	skin_top15	40.7011494252874	module3	Nutrient acquisition and substrate utilization	Nutrient/substrate use	24	skin_top15
Acinetobacter	CF4	87	85	0.977011494252874	1.04597701149425	1.07058823529412	87	0	87	16	Skin-associated	3	TRUE	NA	FALSE	TRUE	FALSE	TRUE	skin_top15	40.7011494252874	module4	Stress adaptation and envelope homeostasis	Stress/envelope homeostasis	24	skin_top15
Acinetobacter	CF7	87	75	0.862068965517241	1.40229885057471	1.62666666666667	87	0	87	16	Skin-associated	3	TRUE	NA	FALSE	TRUE	FALSE	TRUE	skin_top15	40.7011494252874	module4	Stress adaptation and envelope homeostasis	Stress/envelope homeostasis	24	skin_top15
Acinetobacter	CF2_10	87	87	1	1.64367816091954	1.64367816091954	87	0	87	16	Skin-associated	3	TRUE	NA	FALSE	TRUE	FALSE	TRUE	skin_top15	40.7011494252874	module5	Nutrient acquisition and substrate utilization	Nutrient/substrate use	24	skin_top15
Acinetobacter	CF2_4	87	86	0.988505747126437	1.62068965517241	1.63953488372093	87	0	87	16	Skin-associated	3	TRUE	NA	FALSE	TRUE	FALSE	TRUE	skin_top15	40.7011494252874	module5	Nutrient acquisition and substrate utilization	Nutrient/substrate use	24	skin_top15
Acinetobacter	CF6	87	86	0.988505747126437	0.988505747126437	1	87	0	87	16	Skin-associated	3	TRUE	NA	FALSE	TRUE	FALSE	TRUE	skin_top15	40.7011494252874	module5	Nutrient acquisition and substrate utilization	Nutrient/substrate use	24	skin_top15
Acinetobacter	CF5	87	85	0.977011494252874	0.977011494252874	1	87	0	87	16	Skin-associated	3	TRUE	NA	FALSE	TRUE	FALSE	TRUE	skin_top15	40.7011494252874	module6	Nucleotide metabolism and genome maintenance	Nucleotide/genome maintenance	24	skin_top15
Acinetobacter	CF9_12	87	0	0	0	0	87	0	87	16	Skin-associated	3	TRUE	NA	FALSE	TRUE	FALSE	TRUE	skin_top15	40.7011494252874	module7	Poorly characterized candidate modules	Poorly characterized	24	skin_top15
Acinetobacter	CF9_9	87	87	1	1	1	87	0	87	16	Skin-associated	3	TRUE	NA	FALSE	TRUE	FALSE	TRUE	skin_top15	40.7011494252874	module7	Poorly characterized candidate modules	Poorly characterized	24	skin_top15
Acinetobacter	CF10	87	2	0.0229885057471264	0.0229885057471264	1	87	0	87	16	Skin-associated	3	TRUE	NA	FALSE	TRUE	FALSE	TRUE	skin_top15	40.7011494252874	module8	Nucleotide metabolism and genome maintenance	Nucleotide/genome maintenance	24	skin_top15
Acinetobacter	CF22	87	1	0.0114942528735632	0.0114942528735632	1	87	0	87	16	Skin-associated	3	TRUE	NA	FALSE	TRUE	FALSE	TRUE	skin_top15	40.7011494252874	module8	Nucleotide metabolism and genome maintenance	Nucleotide/genome maintenance	24	skin_top15
Acinetobacter	CF25	87	0	0	0	0	87	0	87	16	Skin-associated	3	TRUE	NA	FALSE	TRUE	FALSE	TRUE	skin_top15	40.7011494252874	module8	Nucleotide metabolism and genome maintenance	Nucleotide/genome maintenance	24	skin_top15
Acinetobacter	CF11	87	32	0.367816091954023	0.390804597701149	1.0625	87	0	87	16	Skin-associated	3	TRUE	NA	FALSE	TRUE	FALSE	TRUE	skin_top15	40.7011494252874	module9	Nutrient acquisition and substrate utilization	Nutrient/substrate use	24	skin_top15
Acinetobacter	CF19	87	87	1	9.01149425287356	9.01149425287356	87	0	87	16	Skin-associated	3	TRUE	NA	FALSE	TRUE	FALSE	TRUE	skin_top15	40.7011494252874	module9	Nutrient acquisition and substrate utilization	Nutrient/substrate use	24	skin_top15
Acinetobacter	CF13	87	87	1	2.97701149425287	2.97701149425287	87	0	87	16	Skin-associated	3	TRUE	NA	FALSE	TRUE	FALSE	TRUE	skin_top15	40.7011494252874	module10	Translation and RNA-centered regulation	Translation/RNA regulation	24	skin_top15
Acinetobacter	CF14	87	85	0.977011494252874	0.977011494252874	1	87	0	87	16	Skin-associated	3	TRUE	NA	FALSE	TRUE	FALSE	TRUE	skin_top15	40.7011494252874	module10	Translation and RNA-centered regulation	Translation/RNA regulation	24	skin_top15
Acinetobacter	CF24	87	85	0.977011494252874	0.977011494252874	1	87	0	87	16	Skin-associated	3	TRUE	NA	FALSE	TRUE	FALSE	TRUE	skin_top15	40.7011494252874	module10	Translation and RNA-centered regulation	Translation/RNA regulation	24	skin_top15
Acinetobacter	CF15_17	87	1	0.0114942528735632	0.0114942528735632	1	87	0	87	16	Skin-associated	3	TRUE	NA	FALSE	TRUE	FALSE	TRUE	skin_top15	40.7011494252874	module11	Translation and RNA-centered regulation	Translation/RNA regulation	24	skin_top15
Acinetobacter	CF15_19	87	84	0.96551724137931	0.96551724137931	1	87	0	87	16	Skin-associated	3	TRUE	NA	FALSE	TRUE	FALSE	TRUE	skin_top15	40.7011494252874	module11	Translation and RNA-centered regulation	Translation/RNA regulation	24	skin_top15
Acinetobacter	CF16	87	86	0.988505747126437	0.988505747126437	1	87	0	87	16	Skin-associated	3	TRUE	NA	FALSE	TRUE	FALSE	TRUE	skin_top15	40.7011494252874	module12	Translation and RNA-centered regulation	Translation/RNA regulation	24	skin_top15
Acinetobacter	CF17_20	87	28	0.32183908045977	0.32183908045977	1	87	0	87	16	Skin-associated	3	TRUE	NA	FALSE	TRUE	FALSE	TRUE	skin_top15	40.7011494252874	module13	Nutrient acquisition and substrate utilization	Nutrient/substrate use	24	skin_top15
Acinetobacter	CF17_23	87	1	0.0114942528735632	0.0114942528735632	1	87	0	87	16	Skin-associated	3	TRUE	NA	FALSE	TRUE	FALSE	TRUE	skin_top15	40.7011494252874	module13	Nutrient acquisition and substrate utilization	Nutrient/substrate use	24	skin_top15
Acinetobacter	CF18	87	87	1	1.01149425287356	1.01149425287356	87	0	87	16	Skin-associated	3	TRUE	NA	FALSE	TRUE	FALSE	TRUE	skin_top15	40.7011494252874	module14	Stress adaptation and envelope homeostasis	Stress/envelope homeostasis	24	skin_top15
Acinetobacter	CF20	87	86	0.988505747126437	1.01149425287356	1.02325581395349	87	0	87	16	Skin-associated	3	TRUE	NA	FALSE	TRUE	FALSE	TRUE	skin_top15	40.7011494252874	module15	Translation and RNA-centered regulation	Translation/RNA regulation	24	skin_top15
Acinetobacter	CF21	87	86	0.988505747126437	0.988505747126437	1	87	0	87	16	Skin-associated	3	TRUE	NA	FALSE	TRUE	FALSE	TRUE	skin_top15	40.7011494252874	module16	Poorly characterized candidate modules	Poorly characterized	24	skin_top15
Acinetobacter	CF23	87	86	0.988505747126437	0.988505747126437	1	87	0	87	16	Skin-associated	3	TRUE	NA	FALSE	TRUE	FALSE	TRUE	skin_top15	40.7011494252874	module17	Poorly characterized candidate modules	Poorly characterized	24	skin_top15
Acinetobacter	CF26	87	0	0	0	0	87	0	87	16	Skin-associated	3	TRUE	NA	FALSE	TRUE	FALSE	TRUE	skin_top15	40.7011494252874	module18	Intercellular communication signal	Communication signal	24	skin_top15
Pantoea	CF0	53	53	1	5.35849056603774	5.35849056603774	53	0	53	11	Skin-associated	6	TRUE	NA	FALSE	TRUE	FALSE	TRUE	skin_top15	77.0566037735849	module1	Nutrient acquisition and substrate utilization	Nutrient/substrate use	28	skin_top15
Pantoea	CF12	53	53	1	25.0754716981132	25.0754716981132	53	0	53	11	Skin-associated	6	TRUE	NA	FALSE	TRUE	FALSE	TRUE	skin_top15	77.0566037735849	module1	Nutrient acquisition and substrate utilization	Nutrient/substrate use	28	skin_top15
Pantoea	CF8	53	53	1	3.66037735849057	3.66037735849057	53	0	53	11	Skin-associated	6	TRUE	NA	FALSE	TRUE	FALSE	TRUE	skin_top15	77.0566037735849	module1	Nutrient acquisition and substrate utilization	Nutrient/substrate use	28	skin_top15
Pantoea	CF1	53	53	1	1.0188679245283	1.0188679245283	53	0	53	11	Skin-associated	6	TRUE	NA	FALSE	TRUE	FALSE	TRUE	skin_top15	77.0566037735849	module2	Nucleotide metabolism and genome maintenance	Nucleotide/genome maintenance	28	skin_top15
Pantoea	CF3	53	53	1	1.05660377358491	1.05660377358491	53	0	53	11	Skin-associated	6	TRUE	NA	FALSE	TRUE	FALSE	TRUE	skin_top15	77.0566037735849	module3	Nutrient acquisition and substrate utilization	Nutrient/substrate use	28	skin_top15
Pantoea	CF4	53	53	1	3.15094339622642	3.15094339622642	53	0	53	11	Skin-associated	6	TRUE	NA	FALSE	TRUE	FALSE	TRUE	skin_top15	77.0566037735849	module4	Stress adaptation and envelope homeostasis	Stress/envelope homeostasis	28	skin_top15
Pantoea	CF7	53	53	1	1.79245283018868	1.79245283018868	53	0	53	11	Skin-associated	6	TRUE	NA	FALSE	TRUE	FALSE	TRUE	skin_top15	77.0566037735849	module4	Stress adaptation and envelope homeostasis	Stress/envelope homeostasis	28	skin_top15
Pantoea	CF2_10	53	53	1	2.11320754716981	2.11320754716981	53	0	53	11	Skin-associated	6	TRUE	NA	FALSE	TRUE	FALSE	TRUE	skin_top15	77.0566037735849	module5	Nutrient acquisition and substrate utilization	Nutrient/substrate use	28	skin_top15
Pantoea	CF2_4	53	53	1	2.15094339622642	2.15094339622642	53	0	53	11	Skin-associated	6	TRUE	NA	FALSE	TRUE	FALSE	TRUE	skin_top15	77.0566037735849	module5	Nutrient acquisition and substrate utilization	Nutrient/substrate use	28	skin_top15
Pantoea	CF6	53	53	1	3.0188679245283	3.0188679245283	53	0	53	11	Skin-associated	6	TRUE	NA	FALSE	TRUE	FALSE	TRUE	skin_top15	77.0566037735849	module5	Nutrient acquisition and substrate utilization	Nutrient/substrate use	28	skin_top15
Pantoea	CF5	53	53	1	1.0377358490566	1.0377358490566	53	0	53	11	Skin-associated	6	TRUE	NA	FALSE	TRUE	FALSE	TRUE	skin_top15	77.0566037735849	module6	Nucleotide metabolism and genome maintenance	Nucleotide/genome maintenance	28	skin_top15
Pantoea	CF9_12	53	0	0	0	0	53	0	53	11	Skin-associated	6	TRUE	NA	FALSE	TRUE	FALSE	TRUE	skin_top15	77.0566037735849	module7	Poorly characterized candidate modules	Poorly characterized	28	skin_top15
