Species	Genus	CF	n_genomes_cf	positive_genomes	prevalence	mean_copy_all	mean_copy_pos	n_genomes	n_skin	n_nasal	module	functional_theme	functional_theme_short
Acinetobacter baumannii	Acinetobacter	CF0	10	10	1	2	2	10	10	0	module1	Nutrient acquisition and substrate utilization	Nutrient/substrate use
Acinetobacter baumannii	Acinetobacter	CF12	10	10	1	6.3	6.3	10	10	0	module1	Nutrient acquisition and substrate utilization	Nutrient/substrate use
Acinetobacter baumannii	Acinetobacter	CF8	10	10	1	3.8	3.8	10	10	0	module1	Nutrient acquisition and substrate utilization	Nutrient/substrate use
Acinetobacter baumannii	Acinetobacter	CF1	10	10	1	1	1	10	10	0	module2	Nucleotide metabolism and genome maintenance	Nucleotide/genome maintenance
Acinetobacter baumannii	Acinetobacter	CF3	10	10	1	1	1	10	10	0	module3	Nutrient acquisition and substrate utilization	Nutrient/substrate use
Acinetobacter baumannii	Acinetobacter	CF4	10	10	1	1.2	1.2	10	10	0	module4	Stress adaptation and envelope homeostasis	Stress/envelope homeostasis
Acinetobacter baumannii	Acinetobacter	CF7	10	10	1	1.6	1.6	10	10	0	module4	Stress adaptation and envelope homeostasis	Stress/envelope homeostasis
Acinetobacter baumannii	Acinetobacter	CF2_10	10	10	1	2	2	10	10	0	module5	Nutrient acquisition and substrate utilization	Nutrient/substrate use
Acinetobacter baumannii	Acinetobacter	CF2_4	10	10	1	1.4	1.4	10	10	0	module5	Nutrient acquisition and substrate utilization	Nutrient/substrate use
Acinetobacter baumannii	Acinetobacter	CF6	10	10	1	1	1	10	10	0	module5	Nutrient acquisition and substrate utilization	Nutrient/substrate use
Acinetobacter baumannii	Acinetobacter	CF5	10	10	1	1	1	10	10	0	module6	Nucleotide metabolism and genome maintenance	Nucleotide/genome maintenance
Acinetobacter baumannii	Acinetobacter	CF9_12	10	0	0	0	0	10	10	0	module7	Poorly characterized candidate modules	Poorly characterized
Acinetobacter baumannii	Acinetobacter	CF9_9	10	10	1	1	1	10	10	0	module7	Poorly characterized candidate modules	Poorly characterized
Acinetobacter baumannii	Acinetobacter	CF10	10	2	0.2	0.2	1	10	10	0	module8	Nucleotide metabolism and genome maintenance	Nucleotide/genome maintenance
Acinetobacter baumannii	Acinetobacter	CF22	10	1	0.1	0.1	1	10	10	0	module8	Nucleotide metabolism and genome maintenance	Nucleotide/genome maintenance
Acinetobacter baumannii	Acinetobacter	CF25	10	0	0	0	0	10	10	0	module8	Nucleotide metabolism and genome maintenance	Nucleotide/genome maintenance
Acinetobacter baumannii	Acinetobacter	CF11	10	10	1	1	1	10	10	0	module9	Nutrient acquisition and substrate utilization	Nutrient/substrate use
Acinetobacter baumannii	Acinetobacter	CF19	10	10	1	13.2	13.2	10	10	0	module9	Nutrient acquisition and substrate utilization	Nutrient/substrate use
Acinetobacter baumannii	Acinetobacter	CF13	10	10	1	3	3	10	10	0	module10	Translation and RNA-centered regulation	Translation/RNA regulation
Acinetobacter baumannii	Acinetobacter	CF14	10	9	0.9	0.9	1	10	10	0	module10	Translation and RNA-centered regulation	Translation/RNA regulation
Acinetobacter baumannii	Acinetobacter	CF24	10	10	1	1	1	10	10	0	module10	Translation and RNA-centered regulation	Translation/RNA regulation
Acinetobacter baumannii	Acinetobacter	CF15_17	10	0	0	0	0	10	10	0	module11	Translation and RNA-centered regulation	Translation/RNA regulation
Acinetobacter baumannii	Acinetobacter	CF15_19	10	10	1	1	1	10	10	0	module11	Translation and RNA-centered regulation	Translation/RNA regulation
Acinetobacter baumannii	Acinetobacter	CF16	10	10	1	1	1	10	10	0	module12	Translation and RNA-centered regulation	Translation/RNA regulation
Acinetobacter baumannii	Acinetobacter	CF17_20	10	8	0.8	0.8	1	10	10	0	module13	Nutrient acquisition and substrate utilization	Nutrient/substrate use
Acinetobacter baumannii	Acinetobacter	CF17_23	10	0	0	0	0	10	10	0	module13	Nutrient acquisition and substrate utilization	Nutrient/substrate use
Acinetobacter baumannii	Acinetobacter	CF18	10	10	1	1	1	10	10	0	module14	Stress adaptation and envelope homeostasis	Stress/envelope homeostasis
Acinetobacter baumannii	Acinetobacter	CF20	10	10	1	1	1	10	10	0	module15	Translation and RNA-centered regulation	Translation/RNA regulation
Acinetobacter baumannii	Acinetobacter	CF21	10	10	1	1	1	10	10	0	module16	Poorly characterized candidate modules	Poorly characterized
Acinetobacter baumannii	Acinetobacter	CF23	10	10	1	1	1	10	10	0	module17	Poorly characterized candidate modules	Poorly characterized
Acinetobacter baumannii	Acinetobacter	CF26	10	0	0	0	0	10	10	0	module18	Intercellular communication signal	Communication signal
Acinetobacter bereziniae	Acinetobacter	CF0	2	2	1	2	2	2	2	0	module1	Nutrient acquisition and substrate utilization	Nutrient/substrate use
Acinetobacter bereziniae	Acinetobacter	CF12	2	2	1	6	6	2	2	0	module1	Nutrient acquisition and substrate utilization	Nutrient/substrate use
Acinetobacter bereziniae	Acinetobacter	CF8	2	2	1	3	3	2	2	0	module1	Nutrient acquisition and substrate utilization	Nutrient/substrate use
Acinetobacter bereziniae	Acinetobacter	CF1	2	2	1	1	1	2	2	0	module2	Nucleotide metabolism and genome maintenance	Nucleotide/genome maintenance
Acinetobacter bereziniae	Acinetobacter	CF3	2	2	1	1	1	2	2	0	module3	Nutrient acquisition and substrate utilization	Nutrient/substrate use
Acinetobacter bereziniae	Acinetobacter	CF4	2	2	1	2	2	2	2	0	module4	Stress adaptation and envelope homeostasis	Stress/envelope homeostasis
Acinetobacter bereziniae	Acinetobacter	CF7	2	2	1	1	1	2	2	0	module4	Stress adaptation and envelope homeostasis	Stress/envelope homeostasis
Acinetobacter bereziniae	Acinetobacter	CF2_10	2	2	1	2	2	2	2	0	module5	Nutrient acquisition and substrate utilization	Nutrient/substrate use
Acinetobacter bereziniae	Acinetobacter	CF2_4	2	2	1	2	2	2	2	0	module5	Nutrient acquisition and substrate utilization	Nutrient/substrate use
