Pattern	Rank	Taxon	Phylum	CF_A	CF_B	Prev_A	Prev_B	Copy_A	Copy_B	Color_Group	N_Total
Pattern 1 (RapZ)	Phylum	Actinomycetota	Actinomycetota	CF15_17	CF15_19	97.93340987370837	0.0	-1.0058616647127785	0.0	Exclusion/Other	871
Pattern 1 (RapZ)	Phylum	Bacillota	Bacillota	CF15_17	CF15_19	95.11002444987776	0.12224938875304998	-1.0102827763496145	1.0	Bacillota	818
Pattern 1 (RapZ)	Phylum	Pseudomonadota	Pseudomonadota	CF15_17	CF15_19	39.425202652910826	49.29992630803242	-1.0074766355140188	1.005979073243647	Pseudomonadota	1357
Pattern 1 (RapZ)	Phylum	Deinococcota	Deinococcota	CF15_17	CF15_19	92.85714285714286	0.0	-1.0	0.0	Exclusion/Other	28
Pattern 1 (RapZ)	Phylum	Myxococcota	Myxococcota	CF15_17	CF15_19	82.35294117647058	17.64705882352941	-1.0	1.0	Myxococcota	17
Pattern 1 (RapZ)	Phylum	Vulcanimicrobiota	Vulcanimicrobiota	CF15_17	CF15_19	93.33333333333333	0.0	-1.0	0.0	Exclusion/Other	15
Pattern 1 (RapZ)	Phylum	Cyanobacteriota	Cyanobacteriota	CF15_17	CF15_19	42.85714285714285	0.0	-1.0	0.0	Exclusion/Other	14
Pattern 1 (RapZ)	Phylum	Fusobacteriota	Fusobacteriota	CF15_17	CF15_19	83.33333333333334	0.0	-1.0	0.0	Exclusion/Other	6
Pattern 1 (RapZ)	Phylum	Armatimonadota	Armatimonadota	CF15_17	CF15_19	33.33333333333333	0.0	-1.0	0.0	Exclusion/Other	12
Pattern 1 (RapZ)	Phylum	Bdellovibrionota_B	Bdellovibrionota_B	CF15_17	CF15_19	66.66666666666666	0.0	-1.0	0.0	Exclusion/Other	6
Pattern 1 (RapZ)	Phylum	Bacteroidota	Bacteroidota	CF15_17	CF15_19	0.21276595744680002	0.0	-1.0	0.0	Exclusion/Other	470
Pattern 1 (RapZ)	Class	Actinomycetes	Actinomycetota	CF15_17	CF15_19	98.49812265331664	0.0	-1.0063532401524775	0.0	Exclusion/Other	799
Pattern 1 (RapZ)	Class	Bacilli	Bacillota	CF15_17	CF15_19	96.82203389830508	0.0	-1.0109409190371992	0.0	Exclusion/Other	472
Pattern 1 (RapZ)	Class	Gammaproteobacteria	Pseudomonadota	CF15_17	CF15_19	29.0187891440501	68.58037578288099	-1.0071942446043165	1.0060882800608828	Pseudomonadota	958
Pattern 1 (RapZ)	Class	Alphaproteobacteria	Pseudomonadota	CF15_17	CF15_19	64.41102756892231	3.00751879699248	-1.0077821011673151	1.0	Pseudomonadota	399
Pattern 1 (RapZ)	Class	Clostridia	Bacillota	CF15_17	CF15_19	91.33574007220217	0.3610108303249	-1.007905138339921	1.0	Bacillota	277
Pattern 1 (RapZ)	Class	Negativicutes	Bacillota	CF15_17	CF15_19	98.46153846153848	0.0	-1.015625	0.0	Exclusion/Other	65
Pattern 1 (RapZ)	Class	Coriobacteriia	Actinomycetota	CF15_17	CF15_19	96.49122807017544	0.0	-1.0	0.0	Exclusion/Other	57
