pog0	pog1	pog2	pog3	pog4	pog5	pog6	pog7	pog8	pog9	pog10	pog11	pog12	pog13	pog14	pog15	pog16	pog17	pog18	pog19	pog20	pog21	pog22	pog23	pog24	pog25	pog26	pog27	pog28	pog29	pog30
pog0	1	0	0.215	0.089875	0.3905	0.04925	0.390625	0.089875	0.995875	0.13575	0.374125	0.000375	0.13575	0.000375	0.923	0	0	0.03075	0.36175	0.03075	0.09275	0	0.000375	0.126	0.000375	0.089875	0.000375	0.089875	0	0.000375	0.000375
pog1	0	1	0	0.03475	0	0.3615	0	0.03475	0	0.1145	0	0	0.1145	0	0	0.245875	0.245875	0.094375	0	0.094375	0.147375	0.143125	0	0.1145	0	0.03475	0	0.03475	0.245875	0	0
pog2	0.215	0	1	0	0.246875	0.002	0.242	0	0.215	0.015625	0.26325	0.12275	0.015625	0.382375	0.215	0	0	0	0.338125	0	0.002	0	0.45675	0.005875	0.119625	0	0.12275	0	0	0.12275	0.282625
pog3	0.089875	0.03475	0	1	0.089875	0.00475	0.089875	0.866375	0.089875	0.089875	0.089875	0	0.089875	0	0.089875	0.03475	0.03475	0.006625	0.089875	0.006625	0.123125	0.168875	0	0.089875	0	0.51675	0	0.41875	0.03475	0	0
pog4	0.3905	0	0.246875	0.089875	1	0.08225	0.619875	0.089875	0.3905	0.135875	0.915	0.000375	0.135875	0.005125	0.3905	0	0	0.030625	0.368625	0.030625	0.09275	0	0.005125	0.126	0.000375	0.089875	0.000375	0.089875	0	0.000375	0.000375
pog5	0.04925	0.3615	0.002	0.00475	0.08225	1	0.086875	0.00475	0.04925	0.2095	0.065875	0	0.2095	0	0.04925	0.10225	0.10225	0.123125	0.032875	0.123125	0.122125	0.110625	0	0.148	0	0.00475	0	0.00475	0.10225	0	0
pog6	0.390625	0	0.242	0.089875	0.619875	0.086875	1	0.089875	0.390625	0.1405	0.6035	0.000375	0.1405	0.000375	0.390625	0	0	0.03075	0.364125	0.03075	0.09275	0	0.000375	0.126	0.000375	0.089875	0.000375	0.089875	0	0.000375	0.000375
pog7	0.089875	0.03475	0	0.866375	0.089875	0.00475	0.089875	1	0.089875	0.089875	0.089875	0	0.089875	0	0.089875	0.03475	0.03475	0.006625	0.089875	0.006625	0.123125	0.168875	0	0.089875	0	0.51675	0	0.41875	0.03475	0	0
pog8	0.995875	0	0.215	0.089875	0.3905	0.04925	0.390625	0.089875	1	0.13575	0.374125	0.000375	0.13575	0.000375	0.923	0	0	0.03075	0.36175	0.03075	0.09275	0	0.000375	0.126	0.000375	0.089875	0.000375	0.089875	0	0.000375	0.000375
pog9	0.13575	0.1145	0.015625	0.089875	0.135875	0.2095	0.1405	0.089875	0.13575	1	0.13525	0.000375	0.877	0.000375	0.13575	0	0	0.030625	0.135125	0.030625	0.2075	0	0.000375	0.24075	0.000375	0.089875	0.000375	0.089875	0	0.000375	0.000375
pog10	0.374125	0	0.26325	0.089875	0.915	0.065875	0.6035	0.089875	0.374125	0.13525	1	0.000375	0.13525	0.0215	0.374125	0	0	0.030625	0.385	0.030625	0.092125	0	0.0215	0.125375	0.000375	0.089875	0.000375	0.089875	0	0.000375	0.000375
pog11	0.000375	0	0.12275	0	0.000375	0	0.000375	0	0.000375	0.000375	0.000375	1	0.000375	0.367375	0.000375	0	0	0	0.000375	0	0	0	0.367375	0.000375	0.317125	0	0.984125	0	0	1	0.467125
pog12	0.13575	0.1145	0.015625	0.089875	0.135875	0.2095	0.1405	0.089875	0.13575	0.877	0.13525	0.000375	1	0.000375	0.13575	0	0	0.030625	0.135125	0.030625	0.2075	0	0.000375	0.24075	0.000375	0.089875	0.000375	0.089875	0	0.000375	0.000375
pog13	0.000375	0	0.382375	0	0.005125	0	0.000375	0	0.000375	0.000375	0.0215	0.367375	0.000375	1	0.000375	0	0	0	0.1	0	0	0	0.7555	0.000375	0.279125	0	0.367375	0	0	0.367375	0.601625
pog14	0.923	0	0.215	0.089875	0.3905	0.04925	0.390625	0.089875	0.923	0.13575	0.374125	0.000375	0.13575	0.000375	1	0	0	0.03075	0.36175	0.03075	0.09275	0	0.000375	0.126	0.000375	0.089875	0.000375	0.089875	0	0.000375	0.000375
pog15	0	0.245875	0	0.03475	0	0.10225	0	0.03475	0	0	0	0	0	0	0	1	0.689875	0.0945	0	0.0945	0.032875	0.124625	0	0	0	0.03475	0	0.03475	0.867625	0	0
pog16	0	0.245875	0	0.03475	0	0.10225	0	0.03475	0	0	0	0	0	0	0	0.689875	1	0.0945	0	0.0945	0.032875	0.124625	0	0	0	0.03475	0	0.03475	0.689875	0	0
pog17	0.03075	0.094375	0	0.006625	0.030625	0.123125	0.03075	0.006625	0.03075	0.030625	0.030625	0	0.030625	0	0.03075	0.0945	0.0945	1	0.03075	0.971625	0.00475	0.094	0	0.030625	0	0.006625	0	0.006625	0.0945	0	0
pog18	0.36175	0	0.338125	0.089875	0.368625	0.032875	0.364125	0.089875	0.36175	0.135125	0.385	0.000375	0.135125	0.1	0.36175	0	0	0.03075	1	0.03075	0.092125	0	0.1	0.125375	0.000375	0.089875	0.000375	0.089875	0	0.000375	0.000375
pog19	0.03075	0.094375	0	0.006625	0.030625	0.123125	0.03075	0.006625	0.03075	0.030625	0.030625	0	0.030625	0	0.03075	0.0945	0.0945	0.971625	0.03075	1	0.00475	0.094	0	0.030625	0	0.006625	0	0.006625	0.0945	0	0
pog20	0.09275	0.147375	0.002	0.123125	0.09275	0.122125	0.09275	0.123125	0.09275	0.2075	0.092125	0	0.2075	0	0.09275	0.032875	0.032875	0.00475	0.092125	0.00475	1	0.03325	0	0.804125	0	0.123125	0	0.123125	0.032875	0	0
pog21	0	0.143125	0	0.168875	0	0.110625	0	0.168875	0	0	0	0	0	0	0	0.124625	0.124625	0.094	0	0.094	0.03325	1	0	0	0	0.168875	0	0.168875	0.124625	0	0
pog22	0.000375	0	0.45675	0	0.005125	0	0.000375	0	0.000375	0.000375	0.0215	0.367375	0.000375	0.7555	0.000375	0	0	0	0.1	0	0	0	1	0.000375	0.279125	0	0.367375	0	0	0.367375	0.52725
pog23	0.126	0.1145	0.005875	0.089875	0.126	0.148	0.126	0.089875	0.126	0.24075	0.125375	0.000375	0.24075	0.000375	0.126	0	0	0.030625	0.125375	0.030625	0.804125	0	0.000375	1	0.000375	0.089875	0.000375	0.089875	0	0.000375	0.000375
pog24	0.000375	0	0.119625	0	0.000375	0	0.000375	0	0.000375	0.000375	0.000375	0.317125	0.000375	0.279125	0.000375	0	0	0	0.000375	0	0	0	0.279125	0.000375	1	0	0.317125	0	0	0.317125	0.3125
pog25	0.089875	0.03475	0	0.51675	0.089875	0.00475	0.089875	0.51675	0.089875	0.089875	0.089875	0	0.089875	0	0.089875	0.03475	0.03475	0.006625	0.089875	0.006625	0.123125	0.168875	0	0.089875	0	1	0	0.41875	0.03475	0	0
pog26	0.000375	0	0.12275	0	0.000375	0	0.000375	0	0.000375	0.000375	0.000375	0.984125	0.000375	0.367375	0.000375	0	0	0	0.000375	0	0	0	0.367375	0.000375	0.317125	0	1	0	0	0.984125	0.467125
pog27	0.089875	0.03475	0	0.41875	0.089875	0.00475	0.089875	0.41875	0.089875	0.089875	0.089875	0	0.089875	0	0.089875	0.03475	0.03475	0.006625	0.089875	0.006625	0.123125	0.168875	0	0.089875	0	0.41875	0	1	0.03475	0	0
pog28	0	0.245875	0	0.03475	0	0.10225	0	0.03475	0	0	0	0	0	0	0	0.867625	0.689875	0.0945	0	0.0945	0.032875	0.124625	0	0	0	0.03475	0	0.03475	1	0	0
pog29	0.000375	0	0.12275	0	0.000375	0	0.000375	0	0.000375	0.000375	0.000375	1	0.000375	0.367375	0.000375	0	0	0	0.000375	0	0	0	0.367375	0.000375	0.317125	0	0.984125	0	0	1	0.467125
pog30	0.000375	0	0.282625	0	0.000375	0	0.000375	0	0.000375	0.000375	0.000375	0.467125	0.000375	0.601625	0.000375	0	0	0	0.000375	0	0	0	0.52725	0.000375	0.3125	0	0.467125	0	0	0.467125	1
