phylum,CF_id,positive_species,total_species_in_phylum,percentage
2-12-FULL-45-22,CF12,2,2,100.0
2-12-FULL-45-22,CF14,1,2,50.0
2-12-FULL-45-22,CF6,1,2,50.0
2-12-FULL-45-22,CF7,1,2,50.0
4484-113,CF11,6,18,33.33333333333333
4484-113,CF12,16,18,88.88888888888889
4484-113,CF13,9,18,50.0
4484-113,CF14,15,18,83.33333333333334
4484-113,CF15_17,15,18,83.33333333333334
4484-113,CF16,7,18,38.88888888888889
4484-113,CF19,1,18,5.555555555555555
4484-113,CF21,6,18,33.33333333333333
4484-113,CF7,2,18,11.11111111111111
4484-113,CF9_9,6,18,33.33333333333333
4572-55,CF12,2,2,100.0
4572-55,CF13,2,2,100.0
4572-55,CF14,2,2,100.0
4572-55,CF16,1,2,50.0
4572-55,CF24,2,2,100.0
4572-55,CF5,1,2,50.0
4572-55,CF9_9,2,2,100.0
ARS69,CF12,6,9,66.66666666666666
ARS69,CF13,5,9,55.55555555555556
ARS69,CF14,1,9,11.11111111111111
ARS69,CF18,1,9,11.11111111111111
ARS69,CF2_10,3,9,33.33333333333333
ARS69,CF2_4,4,9,44.44444444444444
ARS69,CF7,1,9,11.11111111111111
ARS69,CF9_9,4,9,44.44444444444444
AUK180,CF12,7,9,77.77777777777779
AUK180,CF13,7,9,77.77777777777779
AUK180,CF14,3,9,33.33333333333333
AUK180,CF24,7,9,77.77777777777779
AUK180,CF6,6,9,66.66666666666666
Abyssobacteria,CF12,3,3,100.0
Abyssobacteria,CF13,1,3,33.33333333333333
Abyssobacteria,CF14,1,3,33.33333333333333
Abyssobacteria,CF15_17,3,3,100.0
Abyssobacteria,CF23,1,3,33.33333333333333
Abyssobacteria,CF6,3,3,100.0
Acidobacteriota,CF0,45,5462,0.8238740388136214
Acidobacteriota,CF1,81,5462,1.4829732698645186
Acidobacteriota,CF11,23,5462,0.4210911753936287
Acidobacteriota,CF12,3757,5462,68.78432808495056
Acidobacteriota,CF13,3520,5462,64.44525814719883
Acidobacteriota,CF14,2365,5462,43.29915781764922
Acidobacteriota,CF15_17,3365,5462,61.60746979128524
Acidobacteriota,CF16,989,5462,18.106920541926034
Acidobacteriota,CF17_20,928,5462,16.990113511534236
Acidobacteriota,CF18,1264,5462,23.141706334675945
Acidobacteriota,CF19,569,5462,10.417429512998902
Acidobacteriota,CF20,7,5462,0.12815818381545221
Acidobacteriota,CF21,1410,5462,25.814719882826804
Acidobacteriota,CF22,28,5462,0.5126327352618089
Acidobacteriota,CF23,458,5462,8.385206883925301
Acidobacteriota,CF24,3435,5462,62.88905162943976
Acidobacteriota,CF25,3,5462,0.054924935920908094
Acidobacteriota,CF26,1,5462,0.01830831197363603
Acidobacteriota,CF2_10,140,5462,2.5631636763090446
Acidobacteriota,CF2_4,197,5462,3.606737458806298
Acidobacteriota,CF3,16,5462,0.2929329915781765
Acidobacteriota,CF4,1050,5462,19.223727572317834
Acidobacteriota,CF5,464,5462,8.495056755767118
Acidobacteriota,CF6,1704,5462,31.197363603075797
Acidobacteriota,CF7,765,5462,14.005858659831564
Acidobacteriota,CF8,11,5462,0.20139143170999635
Acidobacteriota,CF9_9,440,5462,8.055657268399854
Actinomycetota,CF0,6018,59430,10.126198889449773
Actinomycetota,CF1,12070,59430,20.309607942116774
Actinomycetota,CF10,4041,59430,6.79959616355376
Actinomycetota,CF11,5855,59430,9.851926636378932
