,size
Pseudomonadota,267130
Bacillota,205871
Bacteroidota,89203
Actinomycetota,59430
Campylobacterota,12704
Patescibacteriota,10847
Verrucomicrobiota,8325
Cyanobacteriota,7057
Chloroflexota,6904
Acidobacteriota,5462
Spirochaetota,5241
Planctomycetota,5138
Desulfobacterota,3821
Bacteroidota_A,2885
Gemmatimonadota,2323
Desulfobacterota_I,2085
Myxococcota,1941
Nitrospirota,1375
Fusobacteriota,1178
Chlamydiota,1033
Omnitrophota,969
Marinisomatota,924
Elusimicrobiota,862
Bdellovibrionota,784
Armatimonadota,744
Synergistota,665
Chrysiogenota,626
Deinococcota,588
Cloacimonadota,512
Thermotogota,510
Fibrobacterota,446
Vulcanimicrobiota,441
Desulfobacterota_B,420
WOR-3,384
SAR324,335
Aquificota,328
Methylomirabilota,258
Myxococcota_A,222
Nitrospinota,216
Zixibacteria,216
Bipolaricaulota,216
Bdellovibrionota_B,213
Zhuqueibacterota,204
Latescibacterota,194
Nitrospirota_A,194
Babelota,194
Sysuimicrobiota,184
Margulisbacteria,184
Hydrogenedentota,176
Krumholzibacteriota,164
Caldisericota,158
Poribacteria,155
Desulfobacterota_G,149
Desulfobacterota_D,146
Eisenbacteria,139
SZUA-79,137
Atribacterota,126
Desulfobacterota_E,102
UBA10199,92
Fermentibacterota,91
Muiribacteriota,79
Sumerlaeota,79
Ratteibacteria,78
Calditrichota,71
Electryoneota,59
UBP6,58
UBA8248,47
Firestonebacteria,44
Hinthialibacterota,41
JAAXHH01,37
Edwardsbacteria,32
JAMCPX01,32
Joyebacterota,32
UBA9089,31
Aerophobota,30
CLD3,28
CG03,25
UBA4055,24
UBA6262,23
Coprothermobacterota,22
Goldbacteria,22
UBP14,21
Dictyoglomota,21
BMS3Abin14,20
UBA3054,20
RBG-13-66-14,20
Thermosulfidibacterota,19
4484-113,18
Lernaellota,17
UBP15,17
DRYD01,17
UBA1439,16
CAIWAD01,16
Desulfobacterota_C,16
Bdellovibrionota_G,14
FCPU426,14
CG2-30-53-67,13
Mcinerneyibacteriota,12
CG2-30-70-394,12
DUMJ01,12
Arandabacterota,12
CAIJMQ01,12
PUNC01,12
NPL-UPA2,11
SZUA-182,11
Calescibacteriota,11
JADFOP01,11
UBP13,10
JANLFM01,10
CSSED10-310,10
JAAXVQ01,10
Desantisbacteria,9
AUK180,9
Auribacterota,9
Orphanbacterota,9
ARS69,9
UBP7,9
Schekmanbacteria,8
Thermodesulfobiota,8
TA06,8
UBP18,8
Tectomicrobia,8
JAHJDO01,7
UBA6266,7
JAGOBX01,7
SM23-31,7
Moduliflexota,6
JAJVIF01,6
Lithacetigenota,6
JAFGOL01,6
RBG-13-61-14,5
JACPWU01,5
Blakebacterota,5
JAJYCY01,5
RUG730,5
TA06_A,5
CALINM01,5
B130-G9,4
UBA8481,4
Lindowbacteria,4
JAKLEM01,4
Nitrospirota_B,4
JAFGBW01,4
JACRDZ01,4
UBA2233,3
Abyssobacteria,3
JAPLJL01,3
JABMQX01,3
Bdellovibrionota_F,3
UBP4,3
CAKKQC01,3
JAUVQV01,3
JAGRBM01,3
DYJV01,2
JAWLBW01,2
JALSQH01,2
JACPFL01,2
4572-55,2
JACPSX01,2
JACPQY01,2
DASVDK01,2
JAUYMQ01,2
T1Sed10-126,2
J088,2
GCA-2686955,2
GCA-001730085,2
2-12-FULL-45-22,2
JAJRZV01,1
JAZFTZ01,1
JBFMHD01,1
DAOPZR01,1
T1SED10-198M,1
JACQOV01,1
JADJOY01,1
JAFGND01,1
JAMOTN01,1
JACPUC01,1
JAUXIQ01,1
BS750m-G25,1
JAMORN01,1
JAGOEH01,1
JAUXIB01,1
JBBIVP01,1
