MAG	Completeness	Contamination	Total_tRNAs	AA_Coverage	16S	23S	5S	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length	Additional_Notes	check_Source
T2107171959_maxbin2_bins_bin.25	100.0	3.92	60	20	2	7	2	Gradient Boost (General Model)	11	0.882	59126	323.35672169811323	1863250	0.49	1696	177	203506		HSMG_12
T2107171970_concoct_bins_bin.49	90.77	3.71	29	17	0	0	0	Neural Network (Specific Model)	11	0.894	4214	240.15934065934067	585819	0.36	728	173	13303		HSMG_12
T2107171994_metabat2_bins_bin.25	100.0	1.18	33	19	0	0	0	Gradient Boost (General Model)	11	0.876	18459	299.6838546069315	1211709	0.38	1183	100	49676		HSMG_12
T2108173910_maxbin2_bins_bin.25	100.0	4.93	43	20	0	0	0	Gradient Boost (General Model)	11	0.912	220767	321.09840175493576	3364241	0.66	3191	109	598808		HSMG_12
T2108173919_concoct_bins_bin.18	96.03	2.6	49	20	0	0	0	Neural Network (Specific Model)	11	0.866	13989	309.3184248906174	2198779	0.64	2057	245	85762		HSMG_12
T2108173920_concoct_bins_bin.115	90.26	4.61	29	16	0	0	1	Neural Network (Specific Model)	11	0.818	5660	278.6908908238446	3050462	0.42	2986	684	23654		HSMG_12
T2108173923_concoct_bins_bin.20	92.72	2.71	43	19	0	1	2	Neural Network (Specific Model)	11	0.832	8700	305.0345717234262	2130841	0.59	1938	374	43346		HSMG_12
T2108173980_maxbin2_bins_bin.32	95.38	2.11	41	17	0	0	1	Gradient Boost (General Model)	11	0.905	136857	325.29634146341465	1764335	0.52	1640	110	349348		HSMG_12
T2108174013_concoct_bins_bin.47	98.04	4.82	21	11	1	0	1	Neural Network (Specific Model)	11	0.918	9220	290.7444152431012	1441279	0.37	1522	218	34137		HSMG_12
T2108174038_metabat2_bins_bin.32	92.15	1.49	41	19	0	0	1	Neural Network (Specific Model)	11	0.877	28890	307.21741133118377	2276025	0.6	2171	120	163311		HSMG_12
T2108174043_concoct_bins_bin.135	99.92	3.9	39	15	0	0	3	Neural Network (Specific Model)	11	0.899	32033	272.73445171849426	2219346	0.31	2444	149	108902		HSMG_12
T2108174047_metabat2_bins_bin.1	90.64	2.2	44	20	0	0	0	Neural Network (Specific Model)	11	0.886	14466	303.61538461538464	2734677	0.69	2665	285	75725		HSMG_12
T2108174065_concoct_bins_bin.69	99.96	0.15	46	20	0	0	2	Neural Network (Specific Model)	11	0.879	118295	377.5553705245629	1545304	0.42	1201	23	270238		HSMG_12
T2108174089_concoct_bins_bin.151	99.99	2.78	53	19	0	0	2	Neural Network (Specific Model)	11	0.879	37687	330.3854105138807	3815314	0.45	3386	150	110566		HSMG_12
R_T2109198906_maxbin2_bins_bin.6	98.63	4.95	56	19	0	0	0	Neural Network (Specific Model)	11	0.878	95528	312.61049163710084	4209992	0.39	3946	109	372136		HSMG_12
T2107171973_maxbin2_bins_bin.20	99.51	4.42	37	20	0	0	2	Neural Network (Specific Model)	11	0.872	75819	280.86340794883506	2111658	0.39	2189	135	200874		HSMG_12
T2107171987_metabat2_bins_bin.29	90.07	0.35	44	17	0	0	4	Neural Network (Specific Model)	11	0.91	41157	317.155694377703	2172669	0.59	2081	71	86931		HSMG_12
T2107172006_maxbin2_bins_bin.32	100.0	4.74	50	20	0	1	1	Neural Network (Specific Model)	11	0.9	62501	302.4575835475578	6659681	0.67	6613	309	272626		HSMG_12
T2108173892_concoct_bins_bin.0	92.53	4.0	71	18	0	0	3	Neural Network (Specific Model)	11	0.875	9851	269.25556631171344	2855587	0.42	3099	409	166239		HSMG_12
T2108173911_maxbin2_bins_bin.27	97.31	0.83	42	20	1	1	1	Neural Network (Specific Model)	11	0.891	498146	289.99237472766885	894396	0.48	918	33	498146		HSMG_12
T2108173972_maxbin2_bins_bin.31	98.22	3.61	46	19	0	0	0	Neural Network (Specific Model)	11	0.88	25868	362.0137339055794	1435411	0.43	1165	98	129088		HSMG_12
T2108173976_metabat2_bins_bin.6	100.0	0.04	34	20	0	0	0	Gradient Boost (General Model)	11	0.869	37512	308.8123370981755	1224549	0.38	1151	49	108253		HSMG_12
T2108173997_maxbin2_bins_bin.22	100.0	3.49	48	20	3	5	1	Gradient Boost (General Model)	11	0.88	940398	272.68895567242674	1233994	0.49	1331	106	940398		HSMG_12
T2108173999_concoct_bins_bin.7	99.96	2.97	41	20	1	1	1	Neural Network (Specific Model)	11	0.9	940218	282.1078140454995	947987	0.48	1011	7	940218		HSMG_12
T2108174002_concoct_bins_bin.70	90.93	0.75	30	17	0	0	0	Neural Network (Specific Model)	11	0.887	10492	282.4643364592214	3355581	0.35	3519	436	55494		HSMG_12
T2108174006_metabat2_bins_bin.18	91.8	0.88	45	19	0	0	3	Neural Network (Specific Model)	11	0.885	80611	369.7785904255319	1882823	0.54	1504	38	201477		HSMG_12
T2107171964_maxbin2_bins_bin.5	100.0	3.32	66	20	3	4	3	Neural Network (Specific Model)	11	0.766	11823	256.971126979199	3237885	0.44	3221	709	52828		HSMG_12
T2107171970_concoct_bins_bin.17	94.06	0.89	27	15	0	0	0	Gradient Boost (General Model)	11	0.907	5447	261.7148014440433	2632052	0.7	3047	625	26677		HSMG_12
T2107171992_maxbin2_bins_bin.16	94.89	0.88	50	20	0	0	2	Gradient Boost (General Model)	11	0.901	193065	355.0822831727205	1592550	0.42	1349	80	371536		HSMG_12
T2107172000_metabat2_bins_bin.37	92.4	0.97	32	17	0	0	2	Neural Network (Specific Model)	11	0.881	34470	292.47122545700745	1468661	0.33	1477	111	135968		HSMG_12
T2108173899_maxbin2_bins_bin.4	99.6	3.54	50	20	0	0	1	Gradient Boost (General Model)	11	0.734	47717	229.4824375793483	2208202	0.43	2363	659	434333		HSMG_12
T2108173919_concoct_bins_bin.19	98.25	2.56	41	19	1	0	1	Neural Network (Specific Model)	11	0.835	6387	277.8163813360188	2969234	0.44	2979	650	29847		HSMG_12
T2108173967_maxbin2_bins_bin.73	90.21	3.11	43	18	1	1	1	Neural Network (Specific Model)	11	0.821	6966	278.70609675281645	3069856	0.42	3018	744	47503		HSMG_12
T2108173972_concoct_bins_bin.58	94.21	4.38	44	19	0	0	2	Neural Network (Specific Model)	11	0.828	10719	312.3337959750173	3259246	0.41	2882	442	41186		HSMG_12
T2108173975_concoct_bins_bin.19	90.88	3.58	48	19	1	0	3	Neural Network (Specific Model)	11	0.867	3830	244.5900573613767	4417945	0.55	5230	1435	23145		HSMG_12
T2108173990_metabat2_bins_bin.4	96.95	3.19	29	14	0	0	1	Gradient Boost (General Model)	11	0.898	6323	272.36221060492903	2433598	0.36	2678	472	28953		HSMG_12
T2108174011_concoct_bins_bin.101	91.24	2.41	45	18	0	0	0	Neural Network (Specific Model)	11	0.909	6030	280.7705314009662	2679513	0.68	2898	543	35835		HSMG_12
T2108174025_metabat2_bins_bin.13	90.91	0.0	35	20	0	1	0	Gradient Boost (General Model)	11	0.896	62720	311.95580110497235	1132013	0.39	1086	37	105111		HSMG_12
T2108174051_maxbin2_bins_bin.62	94.81	3.76	46	20	0	0	0	Neural Network (Specific Model)	11	0.913	104892	316.1871380676623	3403154	0.7	3281	97	285114		HSMG_12
T2108174053_concoct_bins_bin.2	92.92	3.66	14	10	1	0	2	Gradient Boost (General Model)	11	0.901	8663	272.7721811460259	1960711	0.3	2164	323	41822		HSMG_12
T2108174054_maxbin2_bins_bin.5	91.46	3.86	37	16	4	2	1	Neural Network (Specific Model)	11	0.804	40262	276.4640092879257	2656404	0.58	2584	492	161510		HSMG_12
R_T2109198914_maxbin2_bins_bin.14	100.0	4.04	49	20	1	1	0	Neural Network (Specific Model)	11	0.883	231027	307.1885819521179	2826269	0.6	2715	138	710311		HSMG_12
R_T2109198954_metabat2_bins_bin.7	99.98	2.61	50	20	0	0	1	Neural Network (Specific Model)	11	0.842	115715	305.7336032388664	2685884	0.33	2470	36	314092		HSMG_12
T2107171992_concoct_bins_bin.49	95.8	0.11	40	19	0	0	0	Gradient Boost (General Model)	11	0.92	40008	333.244019138756	1587752	0.29	1463	62	222897		HSMG_12
T2107171993_metabat2_bins_bin.16	90.11	4.84	53	20	0	0	0	Gradient Boost (General Model)	11	0.906	97812	339.1644502108336	6913959	0.61	6166	146	575132		HSMG_12
T2107172024_maxbin2_bins_bin.10	99.92	3.41	52	20	1	3	1	Neural Network (Specific Model)	11	0.872	297279	308.9382513661202	1940781	0.53	1830	167	514330		HSMG_12
T2108173881_concoct_bins_bin.50	90.89	3.37	43	20	0	0	1	Gradient Boost (General Model)	11	0.925	14920	306.4784250269687	5511668	0.58	5562	539	71437		HSMG_12
T2108173886_concoct_bins_bin.158	90.91	0.61	24	16	0	0	1	Gradient Boost (General Model)	11	0.899	6863	280.63357546408395	3477356	0.44	3717	644	25810		HSMG_12
T2108173894_metabat2_bins_bin.73	93.32	0.96	47	19	0	0	0	Gradient Boost (General Model)	11	0.921	15344	286.1974900924703	2813792	0.68	3028	267	98272		HSMG_12
T2108173988_concoct_bins_bin.62	99.95	3.69	48	18	0	0	0	Neural Network (Specific Model)	11	0.884	73102	311.11596638655465	3759789	0.69	3570	80	218790		HSMG_12
T2108174056_concoct_bins_bin.32	90.76	2.29	45	19	0	0	0	Neural Network (Specific Model)	11	0.906	4439	266.576184690158	3627450	0.72	4115	974	21081		HSMG_12
T2108174061_metabat2_bins_bin.38	99.29	0.0	35	20	0	0	0	Gradient Boost (General Model)	11	0.862	250088	311.1755593803787	1255512	0.38	1162	13	454813		HSMG_12
T2108174070_maxbin2_bins_bin.6	99.94	3.53	55	20	0	0	7	Neural Network (Specific Model)	11	0.772	15185	261.9217094017094	2970389	0.34	2925	585	95320		HSMG_12
R_T2109198941_concoct_bins_bin.2	100.0	1.93	35	17	0	0	2	Neural Network (Specific Model)	11	0.841	82389	305.11932979158155	2658752	0.33	2447	50	249893		HSMG_12
T2107171980_maxbin2_bins_bin.1	100.0	4.73	50	20	0	1	0	Neural Network (Specific Model)	11	0.893	336578	307.94522575869723	2787380	0.6	2702	176	722699		HSMG_12
T2107171985_concoct_bins_bin.169	99.31	4.68	47	19	0	0	0	Neural Network (Specific Model)	11	0.826	7377	276.64722675367045	2461649	0.51	2452	492	28127		HSMG_12
T2107171996_metabat2_bins_bin.20	94.09	1.57	52	20	0	0	0	Gradient Boost (General Model)	11	0.915	74468	333.4879570265119	6292004	0.56	5771	140	261310		HSMG_12
T2108173877_concoct_bins_bin.106	99.99	4.46	45	19	0	0	5	Neural Network (Specific Model)	11	0.912	15067	289.92430988423865	2140366	0.4	2246	256	55882		HSMG_12
T2108173906_maxbin2_bins_bin.8	99.38	3.96	54	20	6	4	3	Neural Network (Specific Model)	11	0.889	36559	297.3376168224299	2571774	0.58	2568	215	87131		HSMG_12
T2108173910_maxbin2_bins_bin.54	91.22	2.75	29	19	1	1	1	Neural Network (Specific Model)	4	0.918	35695	297.1150159744409	606321	0.29	626	54	76518		HSMG_12
T2108173920_metabat2_bins_bin.133	93.84	3.04	30	17	0	0	1	Gradient Boost (General Model)	11	0.896	12351	302.7088444157521	1565828	0.37	1549	189	52321		HSMG_12
T2108173944_concoct_bins_bin.4	94.96	0.41	47	20	1	1	1	Gradient Boost (General Model)	11	0.905	20086	301.5950100806452	3957483	0.64	3968	285	59306		HSMG_12
T2108173980_maxbin2_bins_bin.14	99.91	4.57	48	20	0	1	1	Neural Network (Specific Model)	11	0.892	149859	329.12291249165	1653909	0.49	1497	145	274857		HSMG_12
T2108173990_maxbin2_bins_bin.61	100.0	4.44	65	20	3	13	10	Neural Network (Specific Model)	11	0.859	89590	305.78624535315987	2867136	0.56	2690	259	454599		HSMG_12
T2108174002_metabat2_bins_bin.26	91.62	2.41	29	15	0	0	0	Gradient Boost (General Model)	11	0.878	9009	274.3736043515603	3268988	0.34	3493	536	37025		HSMG_12
T2108174072_metabat2_bins_bin.99	94.43	3.82	46	19	0	0	0	Neural Network (Specific Model)	11	0.894	29957	312.70969855832243	3194909	0.66	3052	201	115709		HSMG_12
T2108174086_maxbin2_bins_bin.37	94.13	3.76	46	20	1	5	4	Gradient Boost (General Model)	11	0.874	13863	331.55672823219	2152458	0.43	1895	311	54937		HSMG_12
R_T2109198878_maxbin2_bins_bin.0	100.0	0.23	59	19	0	0	1	Neural Network (Specific Model)	11	0.881	199382	312.97480810864005	5407356	0.57	5081	56	378961		HSMG_12
T2107171977_concoct_bins_bin.6	94.28	4.73	57	20	6	2	3	Neural Network (Specific Model)	11	0.915	33897	310.9964428634949	2288628	0.57	2249	188	211533		HSMG_12
T2107171993_concoct_bins_bin.29	99.38	3.06	46	20	0	0	1	Neural Network (Specific Model)	11	0.913	22241	317.1930320150659	2209751	0.6	2124	210	135480		HSMG_12
T2107171994_concoct_bins_bin.26	90.83	4.32	13	8	1	0	2	Gradient Boost (General Model)	11	0.9	6419	273.0218128938439	1874283	0.47	2063	421	18990		HSMG_12
T2108173886_maxbin2_bins_bin.9	90.86	1.5	35	17	0	1	1	Gradient Boost (General Model)	11	0.908	77686	306.3424332344214	3401611	0.65	3370	188	235249		HSMG_12
T2108173887_concoct_bins_bin.122	93.85	3.24	51	20	1	1	1	Gradient Boost (General Model)	11	0.902	16316	299.9390485629336	4015420	0.64	4036	351	63951		HSMG_12
T2108173909_metabat2_bins_bin.91	96.16	0.02	35	20	0	0	0	Gradient Boost (General Model)	11	0.865	46907	308.8184210526316	1218036	0.38	1140	39	117024		HSMG_12
T2108173911_metabat2_bins_bin.31	96.14	0.02	37	19	1	1	1	Neural Network (Specific Model)	11	0.902	498146	294.4774665042631	802121	0.48	821	3	498146		HSMG_12
T2108173919_maxbin2_bins_bin.16	100.0	3.72	57	20	1	1	2	Neural Network (Specific Model)	11	0.884	42453	308.9220097487814	2790186	0.71	2667	272	173587		HSMG_12
T2108173922_maxbin2_bins_bin.62	90.88	4.39	38	19	2	1	1	Neural Network (Specific Model)	11	0.895	84275	311.58751393534004	1871246	0.4	1794	149	297543		HSMG_12
T2108173946_maxbin2_bins_bin.17	93.79	0.65	55	20	0	2	3	Gradient Boost (General Model)	11	0.891	113078	364.670426935092	7066781	0.68	5762	361	482476		HSMG_12
T2108173961_concoct_bins_bin.145	94.0	3.19	41	19	0	1	1	Neural Network (Specific Model)	11	0.901	7388	301.8335483870968	1553564	0.5	1550	274	36195		HSMG_12
T2108174013_maxbin2_bins_bin.47	100.0	4.77	57	20	0	0	3	Gradient Boost (General Model)	11	0.871	74355	304.71495327102804	2241363	0.41	2140	137	188904		HSMG_12
T2107171953_maxbin2_bins_bin.19	99.56	3.72	69	20	1	2	4	Neural Network (Specific Model)	11	0.821	42122	306.6840289755088	3243597	0.37	2899	245	135625		HSMG_12
T2107171992_metabat2_bins_bin.126	95.83	0.06	39	19	0	0	0	Gradient Boost (General Model)	11	0.917	41216	328.49479528105485	1545455	0.3	1441	60	222897		HSMG_12
T2107172005_metabat2_bins_bin.16	92.3	0.42	27	15	0	0	2	Neural Network (Specific Model)	11	0.864	11093	299.065002600104	1996272	0.44	1923	243	47333		HSMG_12
T2108173866_concoct_bins_bin.63	99.57	1.0	49	20	1	1	1	Neural Network (Specific Model)	11	0.856	563668	291.33236714975845	1054722	0.52	1035	18	563668		HSMG_12
T2108173871_concoct_bins_bin.90	99.75	2.12	53	20	0	0	1	Neural Network (Specific Model)	11	0.899	233614	329.7454427083333	1687216	0.52	1536	20	404554		HSMG_12
T2108173887_maxbin2_bins_bin.16	100.0	3.89	60	20	1	0	5	Neural Network (Specific Model)	11	0.873	67209	283.84132124352334	3007079	0.42	3088	244	164183		HSMG_12
T2108173895_metabat2_bins_bin.75	96.63	4.72	48	19	0	0	1	Gradient Boost (General Model)	11	0.927	11296	280.043295638126	2799130	0.68	3095	355	84439		HSMG_12
T2108173908_metabat2_bins_bin.16	90.72	1.81	39	18	0	0	0	Gradient Boost (General Model)	11	0.906	10400	274.3557993730407	2314094	0.71	2552	348	37586		HSMG_12
T2108173931_concoct_bins_bin.36	98.43	3.13	36	15	0	0	0	Neural Network (Specific Model)	11	0.884	19991	283.6181993259509	1995749	0.37	2077	156	83736		HSMG_12
T2108173963_concoct_bins_bin.49	99.95	1.46	51	20	4	1	0	Neural Network (Specific Model)	11	0.898	269486	334.0226666666667	1672242	0.53	1500	16	514339		HSMG_12
T2108173980_maxbin2_bins_bin.20	100.0	4.96	55	20	0	0	1	Neural Network (Specific Model)	11	0.893	280287	296.07838983050846	2807401	0.6	2832	243	537204		HSMG_12
T2108174012_concoct_bins_bin.65	91.84	2.47	35	20	6	3	1	Gradient Boost (General Model)	11	0.857	5209	258.11538461538464	1334657	0.39	1482	327	24054		HSMG_12
T2107171981_concoct_bins_bin.56	95.99	2.01	25	14	0	0	1	Neural Network (Specific Model)	11	0.9	35267	309.97617554858937	1642662	0.36	1595	90	84719		HSMG_12
T2107171994_concoct_bins_bin.3	100.0	2.65	40	19	0	0	2	Gradient Boost (General Model)	11	0.853	16421	287.78805120910386	1419846	0.38	1406	154	49676		HSMG_12
T2107172024_maxbin2_bins_bin.7	100.0	3.9	63	20	3	2	8	Neural Network (Specific Model)	11	0.815	19126	271.17314846127834	2945020	0.35	2957	421	129875		HSMG_12
T2108173882_metabat2_bins_bin.105	90.78	0.31	35	19	0	1	1	Neural Network (Specific Model)	11	0.9	133831	306.6383215744523	2746410	0.36	2693	59	330976		HSMG_12
T2108173883_maxbin2_bins_bin.62	91.41	4.75	27	18	0	0	0	Gradient Boost (General Model)	11	0.877	24751	325.7044989775051	1087913	0.26	978	96	98409		HSMG_12
T2108173883_metabat2_bins_bin.26	99.76	4.38	34	19	0	0	2	Neural Network (Specific Model)	11	0.927	212560	305.86244433448786	3988664	0.38	4042	59	640785		HSMG_12
T2108173912_concoct_bins_bin.29	99.09	0.02	42	20	1	1	1	Neural Network (Specific Model)	11	0.9	497999	293.3938356164384	854646	0.48	876	15	497999		HSMG_12
T2108173926_metabat2_bins_bin.82	97.62	0.02	34	19	0	0	0	Gradient Boost (General Model)	11	0.864	86060	316.9015639374425	1193938	0.38	1087	18	174765		HSMG_12
T2108173949_metabat2_bins_bin.54	94.59	0.0	35	19	0	0	0	Gradient Boost (General Model)	11	0.858	138533	306.1833616298812	1258282	0.38	1178	13	348352		HSMG_12
T2108173972_maxbin2_bins_bin.32	99.99	4.65	55	18	0	0	1	Neural Network (Specific Model)	11	0.874	31320	287.2748592870544	5248337	0.63	5330	551	126380		HSMG_12
T2108174007_metabat2_bins_bin.36	94.02	0.13	48	20	1	1	1	Gradient Boost (General Model)	11	0.896	86237	320.4016973125884	757657	0.4	707	14	158584		HSMG_12
