molecule	gene	start	end	strand	habitat
S. aureus (Skin)	metQ	12385	13227	reverse	Skin
S. aureus (Skin)	metI	13264	13923	reverse	Skin
S. aureus (Skin)	metN	13927	14952	reverse	Skin
S. epidermidis (Skin)	metN	1671	2696	forward	Skin
S. epidermidis (Skin)	metI	2699	3358	forward	Skin
S. epidermidis (Skin)	metQ	3404	4249	forward	Skin
C. accolens (Skin)	metI	468	1148	reverse	Skin
C. accolens (Skin)	metN	1145	2182	reverse	Skin
C. accolens (Skin)	metQ	2255	3118	reverse	Skin
D. pigrum (Skin)	metN	245551	246285	forward	Skin
D. pigrum (Skin)	metI	246282	246956	forward	Skin
D. pigrum (Skin)	metQ	247003	247932	forward	Skin
C. acnes (Skin)	metQ	51703	52665	forward	Skin
C. acnes (Skin)	metN	52697	53794	forward	Skin
C. acnes (Skin)	metI	53794	54447	forward	Skin
S. aureus (Nose)	metQ	21469	22311	reverse	Nose
S. aureus (Nose)	metI	22348	23007	reverse	Nose
S. aureus (Nose)	metN	23011	24036	reverse	Nose
S. epidermidis (Nose)	metQ	21572	22417	reverse	Nose
S. epidermidis (Nose)	metI	22461	23120	reverse	Nose
S. epidermidis (Nose)	metN	23123	24148	reverse	Nose
C. accolens (Nose)	metQ	15768	16631	forward	Nose
C. accolens (Nose)	metN	16704	17741	forward	Nose
C. accolens (Nose)	metI	17738	18418	forward	Nose
D. pigrum (Nose)	metN	11657	12739	forward	Nose
D. pigrum (Nose)	metI	12776	13462	forward	Nose
D. pigrum (Nose)	metQ	13488	14318	forward	Nose
C. acnes (Nose)	metI	137987	138640	reverse	Nose
C. acnes (Nose)	metN	138640	139737	reverse	Nose
C. acnes (Nose)	metQ	139769	140731	reverse	Nose
