protein,pog
human0|p287,0
human264|p323,0
human623|p2227,0
human921|p1259,0
human2439|p618,0
human3198|p616,0
human3524|p1713,0
human3525|p497,0
human3526|p1436,0
human3527|p2316,0
human3744|p926,0
human2197|p1938,0
human3121|p1127,0
human2|p997,0
human1063|p1025,0
human3523|p947,0
human722|p129,0
human268|p2334,0
human702|p1936,0
human803|p1042,0
human1145|p1961,0
human1165|p1948,0
human699|p193,0
human3544|p2476,0
human1009|p1232,0
human880|p2038,0
human494|p587,0
human3751|p2375,0
human3752|p2315,0
human320|p811,0
human454|p966,0
human524|p1611,0
human545|p169,0
human619|p497,0
human683|p1276,0
human927|p485,0
human928|p485,0
human3019|p483,0
human3518|p624,0
human3519|p414,0
human3520|p877,0
human3521|p428,0
human3522|p719,0
human3545|p147,0
human3546|p1650,0
human3547|p466,0
human3548|p624,0
human3549|p2223,0
human3550|p839,0
human3551|p1128,0
human3745|p462,0
human3746|p782,0
human3747|p1608,0
human3748|p107,0
human3749|p80,0
human3750|p2126,0
human3753|p1345,0
human3754|p1271,0
human3755|p856,0
human3756|p1757,0
human3757|p1364,0
human3758|p1912,0
human3759|p792,0
human402|p1843,0
human811|p1615,0
human712|p1088,0
human521|p129,0
human809|p92,0
human1662|p321,0
human2521|p1079,0
human2189|p1003,0
human867|p1757,0
human1927|p527,0
human2417|p572,0
human705|p2016,0
human774|p1149,0
human845|p481,0
human745|p1126,0
human779|p1260,0
human844|p630,0
human3315|p1412,0
human3317|p1411,0
human772|p1833,0
human1809|p1633,0
human763|p195,0
human913|p1738,0
human914|p696,0
human2519|p1350,0
human3771|p499,0
human3772|p2099,0
human3760|p370,0
human3761|p1188,0
human3762|p1245,0
human3531|p641,0
human3536|p1398,0
human3530|p1226,0
human3532|p168,0
human3533|p939,0
human3535|p305,0
human489|p363,0
human499|p1046,0
human780|p1993,0
human3767|p1318,0
human3768|p507,0
human1708|p916,0
human1712|p561,0
human1713|p562,0
human585|p1848,0
human584|p1634,0
human2051|p482,0
human2054|p482,0
human2746|p1410,0
human3537|p798,0
human3538|p202,0
human3539|p277,0
human3540|p1991,0
human3541|p629,0
human3542|p323,0
human3543|p840,0
human3763|p747,0
human3764|p79,0
human3765|p684,0
human3766|p1364,0
human3769|p1504,0
human3770|p126,0
human3773|p2099,0
human2883|p1225,0
human773|p1066,0
human832|p1029,0
human839|p614,0
human2078|p675,0
human1351|p1623,0
human1353|p1621,0
human1767|p1557,0
human1772|p1448,0
