MAG	Completeness	Contamination	Total_tRNAs	AA_Coverage	16S	23S	5S	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length	Additional_Notes	user_genome	classification	closest_genome_reference	closest_genome_reference_radius	closest_genome_taxonomy	closest_genome_ani	closest_genome_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings	domain	check_Source	gtdb_source	source	from	rrna_completeness	trna_completeness	functional_completeness	warning_penalty	comprehensive_quality_score	warning_level	warning_priority
T2107171959_maxbin2_bins_bin.25	100.0	3.92	60	20	2	7	2	Gradient Boost (General Model)	11	0.882	59126	323.35672169811323	1863250	0.49	1696	177	203506		T2107171959_maxbin2_bins_bin.25	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Atopobium;s__Atopobium minutum	GCF_900105895.1	95.0	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Atopobium;s__Atopobium minutum	99.78	0.839	GCF_900105895.1	95.0	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Atopobium;s__Atopobium minutum	99.78	0.839	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Atopobium;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_034113385.1, s__Atopobium sp034113385, 95.0, 81.85, 0.253	90.67	11.0			Bacteria	HSMG_12	hsmg_part_2_1_output	HSMG	human	100.0	100.0	100.0	0.0	91.28649758573434	无警告	1
T2108174088_concoct_bins_bin.74	99.22	0.8	42	18	0	0	1	Neural Network (Specific Model)	11	0.906	28603	325.89715079916607	1551516	0.49	1439	90	123217		T2108174088_concoct_bins_bin.74	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Atopobium;s__Atopobium minutum	GCF_900105895.1	95.0	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Atopobium;s__Atopobium minutum	99.8	0.953	GCF_900105895.1	95.0	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Atopobium;s__Atopobium minutum	99.8	0.953	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Atopobium;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_034113385.1, s__Atopobium sp034113385, 95.0, 81.9, 0.25	92.06	11.0			Bacteria	HSMG_4628	hsmg_part_2_2_output	HSMG	human	33.33333333333333	90.0	66.13333333333333	0.0	90.56364417712321	无警告	1
T2107171959_concoct_bins_bin.21	99.67	0.3	45	20	0	0	0	Neural Network (Specific Model)	11	0.903	73053	337.7704081632653	1538286	0.49	1372	38	203506		T2107171959_concoct_bins_bin.21	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Atopobium;s__Atopobium minutum	GCF_900105895.1	95.0	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Atopobium;s__Atopobium minutum	99.86	0.979	GCF_900105895.1	95.0	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Atopobium;s__Atopobium minutum	99.86	0.979	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Atopobium;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_034113385.1, s__Atopobium sp034113385, 95.0, 81.68, 0.245; GCF_000483125.1, s__Atopobium fossor, 95.0, 80.12, 0.152	92.32	11.0			Bacteria	HSMG_4628	hsmg_part1	HSMG	human	0.0	100.0	58.0	0.0	93.03861373829973	无警告	1
T2108174089_concoct_bins_bin.62	99.87	4.78	45	20	0	0	0	Neural Network (Specific Model)	11	0.903	445177	338.68830290736986	1662636	0.49	1479	27	626128		T2108174089_concoct_bins_bin.62	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Atopobium;s__Atopobium minutum	GCF_900105895.1	95.0	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Atopobium;s__Atopobium minutum	99.88	0.909	GCF_900105895.1	95.0	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Atopobium;s__Atopobium minutum	99.88	0.909	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Atopobium;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_034113385.1, s__Atopobium sp034113385, 95.0, 81.69, 0.256	91.0	11.0			Bacteria	HSMG_4628	hsmg_part1	HSMG	human	0.0	100.0	58.0	0.0	87.2440241384783	无警告	1
T2108174089_maxbin2_bins_bin.17	99.8	3.63	45	20	3	4	1	Neural Network (Specific Model)	11	0.884	445177	321.5021097046413	1806950	0.49	1659	137	626128		T2108174089_maxbin2_bins_bin.17	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Atopobium;s__Atopobium minutum	GCF_900105895.1	95.0	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Atopobium;s__Atopobium minutum	99.79	0.85	GCF_900105895.1	95.0	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Atopobium;s__Atopobium minutum	99.79	0.85	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Atopobium;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_034113385.1, s__Atopobium sp034113385, 95.0, 81.95, 0.252	92.65	11.0			Bacteria	HSMG_4628	hsmg_part1	HSMG	human	100.0	100.0	98.0	0.0	92.56912413847829	无警告	1
T2107171960_concoct_bins_bin.27	99.66	0.69	44	19	0	0	1	Neural Network (Specific Model)	11	0.903	34550	333.8386396526773	1530254	0.49	1382	57	113720		T2107171960_concoct_bins_bin.27	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Atopobium;s__Atopobium minutum	GCF_900105895.1	95.0	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Atopobium;s__Atopobium minutum	99.88	0.984	GCF_900105895.1	95.0	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Atopobium;s__Atopobium minutum	99.88	0.984	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Atopobium;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_034113385.1, s__Atopobium sp034113385, 95.0, 81.19, 0.236	93.19	11.0			Bacteria	HSMG_4628	hsmg_part_2_1_output	HSMG	human	33.33333333333333	95.0	68.93333333333334	0.0	92.03396992899218	无警告	1
T2107171959_metabat2_bins_bin.30	98.83	0.28	45	20	0	0	0	Neural Network (Specific Model)	11	0.904	73053	339.1427503736921	1503776	0.49	1338	32	203506		T2107171959_metabat2_bins_bin.30	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Atopobium;s__Atopobium minutum	GCF_900105895.1	95.0	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Atopobium;s__Atopobium minutum	99.86	0.98	GCF_900105895.1	95.0	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Atopobium;s__Atopobium minutum	99.86	0.98	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Atopobium;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_034113385.1, s__Atopobium sp034113385, 95.0, 81.68, 0.25; GCF_000483125.1, s__Atopobium fossor, 95.0, 80.12, 0.155	91.48	11.0			Bacteria	HSMG_4628	hsmg_part1	HSMG	human	0.0	100.0	58.0	0.0	92.84241373829974	无警告	1
T2107171970_concoct_bins_bin.49	90.77	3.71	29	17	0	0	0	Neural Network (Specific Model)	11	0.894	4214	240.15934065934067	585819	0.36	728	173	13303		T2107171970_concoct_bins_bin.49	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__Saccharimonadales;f__Nanogingivalaceae;g__Nanogingivalis;s__Nanogingivalis sp900556165	GCA_900556165.1	95.0	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__Saccharimonadales;f__Nanogingivalaceae;g__Nanogingivalis;s__Nanogingivalis sp900556165	95.98	0.76	GCA_900556165.1	95.0	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__Saccharimonadales;f__Nanogingivalaceae;g__Nanogingivalis;s__Nanogingivalis sp900556165	95.98	0.76	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__Saccharimonadales;f__Nanogingivalaceae;g__Nanogingivalis;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_963526415.1, s__Nanogingivalis sp963526415, 95.0, 94.62, 0.802; GCA_963527165.1, s__Nanogingivalis sp963527165, 95.0, 94.19, 0.714; GCA_013333405.2, s__Nanogingivalis sp013333405, 95.0, 89.22, 0.248; GCA_963517825.1, s__Nanogingivalis sp963517825, 95.0, 88.28, 0.323; GCA_916438495.1, s__Nanogingivalis sp916438495, 95.0, 87.04, 0.285; GCA_963518805.1, s__Nanogingivalis sp963518805, 95.0, 87.02, 0.287; GCA_963522115.1, s__Nanogingivalis sp963522115, 95.0, 86.78, 0.265; GCA_937922985.1, s__Nanogingivalis sp937922985, 95.0, 86.76, 0.284; GCA_938030735.1, s__Nanogingivalis sp938030735, 95.08, 86.66, 0.273; GCA_963528875.1, s__Nanogingivalis sp963528875, 95.0, 86.48, 0.273; GCA_963544935.1, s__Nanogingivalis sp963544935, 95.0, 86.45, 0.214; GCA_015256915.3, s__Nanogingivalis sp900555945, 95.0, 86.39, 0.287; GCA_015257795.3, s__Nanogingivalis sp015257795, 95.01, 86.35, 0.192; GCA_963532115.1, s__Nanogingivalis sp963532115, 95.0, 86.34, 0.25; GCA_937930585.1, s__Nanogingivalis sp937930585, 95.0, 86.3, 0.191; GCA_963526625.1, s__Nanogingivalis sp963526625, 95.0, 86.27, 0.273; GCA_963524215.1, s__Nanogingivalis sp963524215, 95.0, 86.26, 0.258; GCA_963549415.1, s__Nanogingivalis sp963549415, 95.0, 86.09, 0.257; GCA_934717805.1, s__Nanogingivalis sp934717805, 95.0, 85.97, 0.199; GCA_938045655.1, s__Nanogingivalis sp938045655, 95.0, 85.78, 0.192; GCA_938036745.1, s__Nanogingivalis sp938036745, 95.0, 85.74, 0.199; GCA_938036155.1, s__Nanogingivalis sp938036155, 95.0, 85.68, 0.246; GCA_963526465.1, s__Nanogingivalis sp963526465, 95.02, 85.09, 0.223	57.09	11.0			Bacteria	HSMG_12	hsmg_part1	HSMG	human	0.0	85.0	45.6	0.0	73.57466116357709	无警告	1
T2108173947_concoct_bins_bin.126	100.0	0.0	36	20	0	0	3	Gradient Boost (General Model)	11	0.856	177250	301.31686274509804	1343974	0.38	1275	23	309731		T2108173947_concoct_bins_bin.126	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__QFNR01;s__QFNR01 sp003248485	GCA_943913655.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__QFNR01;s__QFNR01 sp003248485	99.46	0.937	GCA_943913655.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__QFNR01;s__QFNR01 sp003248485	99.46	0.937	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__QFNR01;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_943914555.1, s__QFNR01 sp943914555, 95.0, 89.38, 0.816	97.56	11.0			Bacteria	HSMG_4628	hsmg_part_2_1_output	HSMG	human	33.33333333333333	100.0	67.73333333333333	0.0	94.99788797975387	无警告	1
T2108173969_concoct_bins_bin.15	100.0	0.0	35	20	0	1	0	Gradient Boost (General Model)	11	0.855	129084	302.86152635719907	1347709	0.38	1271	27	487327		T2108173969_concoct_bins_bin.15	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__QFNR01;s__QFNR01 sp003248485	GCA_943913655.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__QFNR01;s__QFNR01 sp003248485	99.57	0.953	GCA_943913655.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__QFNR01;s__QFNR01 sp003248485	99.57	0.953	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__QFNR01;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_943914555.1, s__QFNR01 sp943914555, 95.0, 89.36, 0.809	98.37	11.0			Bacteria	HSMG_4628	hsmg_part1	HSMG	human	33.33333333333333	100.0	67.33333333333333	0.0	94.84010295870158	无警告	1
