Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length	Additional_Notes	Source
2014031004_2	84.36	2.08	Gradient Boost (General Model)	11	0.893	9377	253.62525458248473	1247844	0.36	1473	158	76905	None	Aquatic_19300_1
3300000094_2	73.64	1.93	Gradient Boost (General Model)	11	0.884	5492	271.0	2159242	0.42	2353	397	17836	None	Aquatic_19300_1
3300000115_8	83.44	6.82	Neural Network (Specific Model)	11	0.916	17277	316.50372695174576	2638392	0.51	2549	212	76366	None	Aquatic_19300_1
3300000193_7	70.35	1.87	Gradient Boost (General Model)	11	0.897	6370	282.35918527222873	2404760	0.43	2553	413	22552	None	Aquatic_19300_1
3300000212_13	96.48	3.31	Gradient Boost (General Model)	11	0.953	13768	320.46317829457365	1556961	0.49	1548	143	79779	None	Aquatic_19300_1
3300000362_25	92.43	4.72	Neural Network (Specific Model)	11	0.874	28201	299.5189873417722	2508846	0.48	2449	178	122218	None	Aquatic_19300_1
3300000427_2	55.03	0.07	Gradient Boost (General Model)	11	0.905	6555	312.25683890577506	1358224	0.68	1316	221	26609	None	Aquatic_19300_1
3300000576_23	100.0	0.17	Gradient Boost (General Model)	11	0.893	34314	307.96557514693535	1229036	0.43	1191	57	64232	None	Aquatic_19300_1
3300001419_14	96.07	2.15	Neural Network (Specific Model)	11	0.925	12687	304.2953488372093	2115283	0.53	2150	218	89104	None	Aquatic_19300_1
3300002154_2	86.88	3.54	Neural Network (Specific Model)	11	0.889	21337	279.7512069520438	2928419	0.51	3107	207	101069	None	Aquatic_19300_1
3300002242_44	63.18	0.63	Neural Network (Specific Model)	11	0.929	21643	313.31111111111113	1000203	0.48	990	65	40243	None	Aquatic_19300_1
3300003894_41	93.05	1.32	Gradient Boost (General Model)	11	0.925	30690	332.7445141065831	1375735	0.39	1276	66	59308	None	Aquatic_19300_1
3300005838_5	73.88	6.31	Gradient Boost (General Model)	11	0.897	9342	296.4965881576051	4495949	0.51	4543	566	50078	None	Aquatic_19300_1
3300006902_18	65.26	5.07	Gradient Boost (General Model)	11	0.873	6449	272.3412844036697	2037711	0.54	2180	330	34850	None	Aquatic_19300_1
3300009536_8	67.85	0.02	Neural Network (Specific Model)	11	0.894	6137	288.50947687642156	1274718	0.42	1319	216	28505	None	Aquatic_19300_1
3300010160_49	91.19	1.94	Gradient Boost (General Model)	11	0.951	16924	302.48097631012206	1325385	0.58	1393	113	69488	None	Aquatic_19300_1
3300011169_5	50.67	0.43	Neural Network (Specific Model)	11	0.905	13855	275.35672891178365	1415551	0.63	1553	126	33250	None	Aquatic_19300_1
3300011189_28	96.58	0.2	Gradient Boost (General Model)	11	0.913	46260	317.4525641025641	812767	0.32	780	31	83025	None	Aquatic_19300_1
