Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length	Additional_Notes	Source_batch	form	Quality
R_T2109198890_metabat2_bins_bin.14	55.75	0.02	Neural Network (Specific Model)	11	0.835	170735	287.3125	1401567	0.33	1360	21	184395	None	HSMG_12	HSMG	
R_T2109198892_metabat2_bins_bin.21	81.09	0.1	Neural Network (Specific Model)	11	0.848	581730	294.5219387755102	2039899	0.32	1960	13	718390	None	HSMG_12	HSMG	
R_T2109198893_maxbin2_bins_bin.0	49.57	0.02	Neural Network (Specific Model)	11	0.847	112604	304.5854632587859	1348615	0.31	1252	20	367228	None	HSMG_12	HSMG	
R_T2109198896_concoct_bins_bin.12	79.78	8.31	Neural Network (Specific Model)	11	0.92	2614	241.59204152249134	2272985	0.74	2890	1018	17422	None	HSMG_12	HSMG	
R_T2109198905_metabat2_bins_bin.12	83.61	0.04	Neural Network (Specific Model)	11	0.879	227713	317.94201807228916	4319811	0.6	3984	31	501203	None	HSMG_12	HSMG	
R_T2109198918_metabat2_bins_bin.35	78.49	0.34	Neural Network (Specific Model)	11	0.896	8235	301.3200343200343	2349261	0.71	2331	387	39020	None	HSMG_12	HSMG	
R_T2109198919_metabat2_bins_bin.16	72.12	0.02	Neural Network (Specific Model)	11	0.864	549295	285.89365558912385	3279990	0.36	3310	21	653707	Low confidence prediction - substantial (27%) disagreement between completeness prediction models	HSMG_12	HSMG	
R_T2109198942_metabat2_bins_bin.6	79.98	0.94	Neural Network (Specific Model)	11	0.853	6094	257.4333776007083	2042212	0.32	2259	395	94317	None	HSMG_12	HSMG	
R_T2109198942_metabat2_bins_bin.8	85.74	0.09	Neural Network (Specific Model)	11	0.873	77029	296.6031573217202	1869415	0.31	1837	42	338034	None	HSMG_12	HSMG	
R_T2109199187_metabat2_bins_bin.6	64.31	0.17	Neural Network (Specific Model)	11	0.931	6902	281.33749179251475	1377929	0.65	1523	218	29714	None	HSMG_12	HSMG	
T2107171954_maxbin2_bins_bin.44	69.21	3.65	Gradient Boost (General Model)	11	0.91	3066	263.25902808738294	1942783	0.73	2243	756	12765	None	HSMG_12	HSMG	
T2107171956_concoct_bins_bin.55	93.78	6.53	Neural Network (Specific Model)	11	0.815	6046	245.32421614409606	2700901	0.31	2998	554	31243	None	HSMG_12	HSMG	
T2107171956_concoct_bins_bin.8	92.08	10.07	Neural Network (Specific Model)	11	0.874	8482	294.33423597678916	2604679	0.63	2585	481	59431	None	HSMG_12	HSMG	
T2107171958_metabat2_bins_bin.10	47.74	3.61	Neural Network (Specific Model)	11	0.845	37116	312.4896860986547	1233067	0.58	1115	59	108770	None	HSMG_12	HSMG	
T2107171959_maxbin2_bins_bin.25	100	3.92	Gradient Boost (General Model)	11	0.882	59126	323.35672169811323	1863250	0.49	1696	177	203506	None	HSMG_12	HSMG	HQ
T2107171960_metabat2_bins_bin.18	74.54	0.47	Neural Network (Specific Model)	11	0.873	229819	356.3228070175439	1046296	0.42	855	12	305595	None	HSMG_12	HSMG	
T2107171960_metabat2_bins_bin.40	72.94	4.79	Gradient Boost (General Model)	11	0.905	4433	262.4395750332005	1306636	0.35	1506	339	21559	None	HSMG_12	HSMG	
T2107171961_concoct_bins_bin.5	59.4	2.83	Neural Network (Specific Model)	11	0.854	2147	225.1378755364807	1470705	0.64	1864	734	7534	None	HSMG_12	HSMG	
T2107171962_maxbin2_bins_bin.11	99.96	5.25	Neural Network (Specific Model)	11	0.774	6741	245.27809573361083	3646637	0.44	3844	935	67288	None	HSMG_12	HSMG	
T2107171967_metabat2_bins_bin.56	81.73	0.25	Neural Network (Specific Model)	11	0.827	14339	293.86062533121356	2009031	0.52	1887	183	102746	None	HSMG_12	HSMG	
T2107171967_metabat2_bins_bin.63	75.42	0.52	Neural Network (Specific Model)	11	0.875	4794	252.3529661016949	4074323	0.59	4720	998	20631	None	HSMG_12	HSMG	
T2107171968_metabat2_bins_bin.19	60.01	2.62	Neural Network (Specific Model)	11	0.906	3055	266.208	1429277	0.73	1625	492	13904	None	HSMG_12	HSMG	
T2107171968_metabat2_bins_bin.25	71.2	5.29	Neural Network (Specific Model)	11	0.929	3530	259.195434298441	1501012	0.66	1796	458	15941	None	HSMG_12	HSMG	
T2107171970_concoct_bins_bin.49	90.77	3.71	Neural Network (Specific Model)	11	0.894	4214	240.15934065934067	585819	0.36	728	173	13303	None	HSMG_12	HSMG	HQ
T2107171970_maxbin2_bins_bin.38	84.49	9.22	Gradient Boost (General Model)	11	0.891	6409	282.8507609229259	1936717	0.47	2037	493	29757	None	HSMG_12	HSMG	
T2107171972_concoct_bins_bin.1	88.35	2.39	Gradient Boost (General Model)	11	0.906	5151	267.13634085213033	1761279	0.34	1995	435	33642	None	HSMG_12	HSMG	
T2107171972_concoct_bins_bin.8	55.72	0.3	Neural Network (Specific Model)	11	0.899	3427	244.0871839581517	932040	0.36	1147	342	14074	None	HSMG_12	HSMG	
T2107171976_maxbin2_bins_bin.23	59.6	1.97	Gradient Boost (General Model)	11	0.872	190146	302.86245353159853	1119130	0.5	1076	143	514356	None	HSMG_12	HSMG	
T2107171978_metabat2_bins_bin.71	80.64	2.45	Neural Network (Specific Model)	11	0.814	10401	298.99554367201426	2471586	0.41	2244	332	59114	None	HSMG_12	HSMG	
T2107171978_metabat2_bins_bin.92	81.89	3.11	Neural Network (Specific Model)	11	0.902	14574	301.29054545454545	2749607	0.67	2750	293	49261	None	HSMG_12	HSMG	
T2107171979_metabat2_bins_bin.12	72.91	0.11	Neural Network (Specific Model)	11	0.915	14072	302.39446366782005	1716491	0.59	1734	185	51321	None	HSMG_12	HSMG	
T2107171981_metabat2_bins_bin.27	65.05	1.97	Neural Network (Specific Model)	11	0.921	9537	294.68355555555553	1076933	0.37	1125	146	35488	None	HSMG_12	HSMG	
T2107171984_metabat2_bins_bin.20	59.85	0.04	Gradient Boost (General Model)	11	0.817	3198	230.41421947449768	546419	0.27	647	185	11499	None	HSMG_12	HSMG	
T2107171984_metabat2_bins_bin.7	86.98	6.23	Gradient Boost (General Model)	11	0.907	3820	268.91287613715883	2537739	0.69	2858	736	17127	None	HSMG_12	HSMG	
T2107171985_concoct_bins_bin.107	84.63	5.67	Neural Network (Specific Model)	11	0.859	2529	239.71779359430604	2350068	0.44	2810	1008	15631	None	HSMG_12	HSMG	
T2107171985_concoct_bins_bin.163	61.42	5.58	Gradient Boost (General Model)	11	0.914	3038	252.34246575342465	1025576	0.31	1241	391	13566	None	HSMG_12	HSMG	
T2107171985_metabat2_bins_bin.92	75.2	7.08	Neural Network (Specific Model)	11	0.921	15700	299.5612998522895	1978101	0.65	2031	187	77322	None	HSMG_12	HSMG	
T2107171992_concoct_bins_bin.102	80.82	6.13	Gradient Boost (General Model)	11	0.857	2087	221.40354535974973	2225285	0.44	2877	1136	10612	None	HSMG_12	HSMG	
T2107171993_maxbin2_bins_bin.52	76.53	2.34	Neural Network (Specific Model)	11	0.866	6999	312.6406429391504	1884771	0.56	1742	373	30935	None	HSMG_12	HSMG	
T2107171994_metabat2_bins_bin.25	100	1.18	Gradient Boost (General Model)	11	0.876	18459	299.6838546069315	1211709	0.38	1183	100	49676	None	HSMG_12	HSMG	HQ
T2107171997_metabat2_bins_bin.22	81.4	0	Neural Network (Specific Model)	11	0.893	183128	344.1656674029662	3657309	0.37	3169	47	345059	None	HSMG_12	HSMG	
T2107172000_metabat2_bins_bin.69	60.69	2	Gradient Boost (General Model)	11	0.876	3946	280.7913593256059	1820516	0.71	1898	520	15467	None	HSMG_12	HSMG	
T2107172001_metabat2_bins_bin.4	78	0.18	Neural Network (Specific Model)	11	0.889	9299	295.91241959426026	2013207	0.58	2021	305	48909	None	HSMG_12	HSMG	
T2107172002_metabat2_bins_bin.15	83.99	1.82	Neural Network (Specific Model)	11	0.883	29291	317.4088037068239	5109165	0.66	4748	282	81316	None	HSMG_12	HSMG	
T2107172002_metabat2_bins_bin.29	66.57	2.42	Neural Network (Specific Model)	11	0.912	4061	265.93565926597194	1926244	0.68	2207	547	23180	None	HSMG_12	HSMG	
T2107172004_concoct_bins_bin.72	100	7.56	Gradient Boost (General Model)	11	0.89	56498	299.28575	4022323	0.55	4000	414	281589	None	HSMG_12	HSMG	
T2107172004_metabat2_bins_bin.1	48.51	3.19	Gradient Boost (General Model)	11	0.903	2392	235.77523553162854	2905469	0.68	3715	1208	11661	None	HSMG_12	HSMG	
T2107172006_metabat2_bins_bin.12	73.39	0.05	Gradient Boost (General Model)	11	0.915	43072	305.1804979253112	1443686	0.64	1446	52	178951	None	HSMG_12	HSMG	
T2107172008_concoct_bins_bin.24	69.89	2.88	Gradient Boost (General Model)	11	0.925	2563	242.95068646679744	2805378	0.69	3569	1236	9959	None	HSMG_12	HSMG	
T2107172010_concoct_bins_bin.51	62.05	1.82	Neural Network (Specific Model)	11	0.9	2261	229.13570038910507	1566279	0.37	2056	739	9088	None	HSMG_12	HSMG	
T2107172010_metabat2_bins_bin.59	55.03	1.99	Neural Network (Specific Model)	11	0.89	42934	338.41577825159914	1068457	0.56	938	41	120528	None	HSMG_12	HSMG	
T2107172012_concoct_bins_bin.60	65.49	3.09	Neural Network (Specific Model)	11	0.823	2701	231.05536	2629208	0.43	3125	1105	27602	None	HSMG_12	HSMG	
T2107172013_metabat2_bins_bin.10	66.75	0.28	Neural Network (Specific Model)	11	0.862	6545	279.3232819074334	1385553	0.4	1426	244	42713	None	HSMG_12	HSMG	
T2107172013_metabat2_bins_bin.17	78.89	0.63	Neural Network (Specific Model)	11	0.908	6903	293.91748526522593	1972995	0.73	2036	377	27129	None	HSMG_12	HSMG	
T2107172014_concoct_bins_bin.32	81.26	8.77	Neural Network (Specific Model)	11	0.858	3545	260.8808063102542	2075202	0.64	2282	682	29329	None	HSMG_12	HSMG	
T2107172014_metabat2_bins_bin.25	83.29	0.28	Neural Network (Specific Model)	11	0.923	56428	317.4757505773672	1782174	0.61	1732	53	190467	None	HSMG_12	HSMG	
T2107172014_metabat2_bins_bin.99	88.92	5.92	Neural Network (Specific Model)	11	0.913	7548	298.2171403197158	2203397	0.74	2252	397	36039	None	HSMG_12	HSMG	
T2107172016_concoct_bins_bin.142	72.85	4.44	Gradient Boost (General Model)	11	0.867	2862	232.54387117975682	2440037	0.57	3043	961	15617	None	HSMG_12	HSMG	
T2107172016_metabat2_bins_bin.25	66.69	2.93	Gradient Boost (General Model)	11	0.898	3997	271.04609101516917	1549339	0.67	1714	417	16096	None	HSMG_12	HSMG	
T2107172016_metabat2_bins_bin.59	86.63	8.24	Gradient Boost (General Model)	11	0.878	24301	295.5586099585062	1943558	0.33	1928	129	67751	None	HSMG_12	HSMG	
T2107172018_concoct_bins_bin.115	89.46	0.96	Neural Network (Specific Model)	11	0.915	6684	281.05648186744475	4409891	0.68	4798	900	58921	None	HSMG_12	HSMG	
T2108173861_metabat2_bins_bin.28	84.18	3.3	Neural Network (Specific Model)	11	0.897	5173	256.2933825617722	3011275	0.65	3521	684	27540	None	HSMG_12	HSMG	
T2108173863_concoct_bins_bin.62	71.37	2.5	Gradient Boost (General Model)	11	0.889	2961	278.5009742790335	4814444	0.44	5132	1850	12375	None	HSMG_12	HSMG	
T2108173864_maxbin2_bins_bin.6	65.12	6.1	Neural Network (Specific Model)	11	0.853	9819	281.82608695652175	1774418	0.63	1794	274	41177	None	HSMG_12	HSMG	
T2108173865_metabat2_bins_bin.4	50.84	0.34	Neural Network (Specific Model)	11	0.854	25904	292.52321007081036	1303277	0.32	1271	86	66958	None	HSMG_12	HSMG	
T2108173866_metabat2_bins_bin.13	78.8	7.44	Neural Network (Specific Model)	11	0.93	7839	287.19026328862395	1861034	0.69	2013	326	39356	None	HSMG_12	HSMG	
T2108173867_metabat2_bins_bin.66	67.89	3.33	Gradient Boost (General Model)	11	0.925	4893	269.66685488424616	1544930	0.64	1771	359	32543	None	HSMG_12	HSMG	
T2108173868_concoct_bins_bin.8	87.08	4.34	Neural Network (Specific Model)	11	0.856	3599	283.45565129244807	1956487	0.56	1973	659	16647	None	HSMG_12	HSMG	
T2108173871_maxbin2_bins_bin.41	64.97	5.17	Neural Network (Specific Model)	11	0.913	6217	261.69943622269204	2434433	0.66	2838	584	27023	None	HSMG_12	HSMG	
T2108173873_metabat2_bins_bin.51	84.13	6.02	Gradient Boost (General Model)	11	0.928	8454	304.3830054416074	7039284	0.68	7167	1123	69817	None	HSMG_12	HSMG	
T2108173873_metabat2_bins_bin.63	89.32	5.59	Neural Network (Specific Model)	11	0.884	56812	298.8862370723946	5089710	0.67	5028	184	179652	None	HSMG_12	HSMG	
T2108173877_concoct_bins_bin.129	62.76	2.32	Neural Network (Specific Model)	11	0.885	2303	240.74746268656716	1363185	0.48	1675	658	7126	None	HSMG_12	HSMG	
T2108173877_metabat2_bins_bin.72	65.38	0.71	Gradient Boost (General Model)	11	0.877	15443	323.64371413667186	2120549	0.66	1917	224	35219	None	HSMG_12	HSMG	
T2108173880_maxbin2_bins_bin.26	53.49	3.12	Neural Network (Specific Model)	11	0.886	4357	252.3679753656659	1107019	0.31	1299	316	29519	None	HSMG_12	HSMG	
T2108173880_metabat2_bins_bin.65	77.21	3.44	Neural Network (Specific Model)	11	0.91	5203	254.56069364161849	1302963	0.31	1557	298	29519	None	HSMG_12	HSMG	
T2108173881_concoct_bins_bin.36	54.64	6.29	Neural Network (Specific Model)	11	0.904	2948	236.37299930410578	2248860	0.68	2874	856	12127	None	HSMG_12	HSMG	
T2108173881_metabat2_bins_bin.2	49.98	1.03	Neural Network (Specific Model)	11	0.864	4520	270.0115030674847	1219890	0.64	1304	312	14427	None	HSMG_12	HSMG	
T2108173882_concoct_bins_bin.28	63.22	1.78	Gradient Boost (General Model)	11	0.885	3605	268.6679729248308	2551576	0.36	2807	841	22536	None	HSMG_12	HSMG	
T2108173882_maxbin2_bins_bin.74	85.51	8.56	Gradient Boost (General Model)	11	0.921	11310	273.6215425531915	3339519	0.39	3760	517	44263	None	HSMG_12	HSMG	
T2108173882_metabat2_bins_bin.88	82.08	1.41	Gradient Boost (General Model)	11	0.913	20437	298.85989196488856	2900732	0.65	2962	232	94758	None	HSMG_12	HSMG	
T2108173883_metabat2_bins_bin.41	76.65	12.76	Neural Network (Specific Model)	11	0.925	5444	275.8826714801444	1978482	0.57	2216	419	23208	None	HSMG_12	HSMG	
T2108173885_metabat2_bins_bin.10	84.83	0.63	Gradient Boost (General Model)	11	0.934	10897	283.63979255068364	1925578	0.67	2121	258	41030	None	HSMG_12	HSMG	
T2108173886_concoct_bins_bin.21	92.75	7.26	Gradient Boost (General Model)	11	0.913	13476	318.7942628294682	11225492	0.69	10737	1042	52399	None	HSMG_12	HSMG	
T2108173886_metabat2_bins_bin.148	70.76	4.66	Neural Network (Specific Model)	11	0.899	3340	243.76321773735077	2856506	0.67	3518	893	41883	None	HSMG_12	HSMG	
T2108173886_metabat2_bins_bin.34	73.11	2.86	Gradient Boost (General Model)	11	0.915	15435	306.5470903522205	2620197	0.66	2612	221	82907	None	HSMG_12	HSMG	
T2108173887_maxbin2_bins_bin.60	81.79	10.43	Gradient Boost (General Model)	11	0.932	7716	289.9658671586716	6056734	0.7	6504	1158	56049	None	HSMG_12	HSMG	
T2108173887_metabat2_bins_bin.104	71.9	8.32	Gradient Boost (General Model)	11	0.919	8925	290.8952626002724	6261333	0.69	6607	940	128756	None	HSMG_12	HSMG	
T2108173894_concoct_bins_bin.5	67.44	1.15	Gradient Boost (General Model)	11	0.861	3358	235.54713883677297	3489415	0.63	4264	1208	17300	None	HSMG_12	HSMG	
T2108173894_metabat2_bins_bin.52	83.03	0.66	Gradient Boost (General Model)	11	0.916	32247	311.317996742671	2496940	0.65	2456	123	101450	None	HSMG_12	HSMG	
T2108173895_maxbin2_bins_bin.51	80.21	6.58	Gradient Boost (General Model)	11	0.886	12535	290.5533840028954	2713635	0.34	2763	382	84539	None	HSMG_12	HSMG	
